stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  5-6,8.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.79,0,0,0,0,0,0,0,0,0,0,5.61,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05,0,6.14,0,0,0,0
 14-21,0,1.43,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,4.11,0,3.17,0
 24-34,0,0,0,0,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0,15.47,0,0,0.68,0,0.9,0
 36-46,0,0.86,0,0,11.86,0.67,5.83,0,0,0,0,0,0,0,0,0,0,4.67,5.55,0,0,10.6,3.76,2.87,0
 48-58,0,0,0,0,14.1,0,0,0.43,0.53,0,0,0.49,0,0,0,0,0,0,26.02,0,0,0,0,0,0
 60-70,0,3.61,4.26,0,13.41,0,0,0,0.67,0,0,0,0,0,1.05,1.82,0,0,13.15,0,0,7.85,0,1.02,0
 72-82,0,0,5.18,0,8.5,1.29,0,0,1.78,0,0,0,0,0,0,1.42,0,0,13.83,0,0,0,0,1.11,7.71
 84-94,0,0.75,0,0,3.5,0,0.88,0,0.73,0,0,0,0,0,0,0,8.61,0,17.23,0,0,0,0,0,0
 96-106,0,0,0,0,4.21,0,0,0,0,0,0.62,0,0,1.05,0,3.93,0,0,19.78,0,0,0.76,0,0,0
108-118,0,0,0,1.51,11.22,0,0.45,0,0,0,0,0,3.79,0,0,0.55,0,0,11.05,0,0,1.34,0,0,0
120,0,0,0,0,7.36,0,2.6,0,0,0,0,0,0,0,0,0,0,0,25.61,9.06,0,0,0,0,0
