stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature
  5-6,7.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.5,0,0,0,0,0,0,0,129.52,0,0,0,0,0,0,0,10.62,0,0,0,4.64,0,0,0,0,0,0,0,0
 10-12,0,0,420.83,0,0,0,0,0,0,0,82.96,0,0,0,0,0,0,0,115.3,0,0,0,10.76,0,0,0,0,0,0,0,0
 14-21,0,0,48.44,80.07,1.37,0,0,0,1.73,59.48,0,0,0,0,0,9.3,0,2.18,18.42,0,5.23,0.89,0,0,0,0,0,11.42,0,0,0
 24-34,0,0,77.75,6.3,0,0,0.62,0,0,23.55,0,0,0,0,21.32,0.67,0,0.61,11.11,0,0.83,0,0,0,0,4.03,0,6.06,0,0,0
 36-46,0,0,13.8,1.73,0,0,0,0.62,0,32.46,0,0.65,0,0,38.43,3.75,0,0,5.51,1.95,0.91,0.68,0,0,1.13,2.83,0,3.09,0,0,0
 48-58,0,0,7.86,0.7,0,0,1.1,0,0,49.54,0,0,0,0,16.22,30.56,0,0,21.15,0,0.85,0,0,0,0,1.01,0.4,0,0,0,4.72
 60-70,0,0,0,1.8,0,0,23.21,0,0,212.45,0,0,0,0,22.3,114.51,7.24,0,30.44,0,0.73,0,0,0,0,7.81,0,9.27,0,0.65,0
 72-82,0,13.42,2.76,2.53,0,0,22.52,0,0,280.11,0,0,0,0.56,4.7,230.44,1.46,0.73,51.15,1.03,0,4.05,0,0,2.28,15.05,0,1.66,1.87,0,17.75
 84-94,0,17.47,21.82,2,1.58,0,5.31,0,2.96,543.79,0,0,2.14,0,27.94,337.36,0,0,56,2.53,0.71,0,0,0,0.6,23.17,0,5.19,1.14,0,12.86
 96-106,0,8.93,29.29,2.12,3.19,0,48.55,0.76,3.41,433.51,0,0,1.56,0,23.92,135.47,1.1,1.98,72.25,4.17,0.71,0,0,1.36,17.03,11.53,0,0,0,0,30.65
108-118,0,1.37,35.59,11.19,7.14,0.78,7.89,1.63,3.83,464.81,0,0,0,0.64,18.16,124.03,0,0,59.84,0,0,0,0,0,2.06,22.4,0,0,3.59,0,40.98
120,0,0,19.37,1.95,0,0,11.05,1.23,0,349.47,0,0,6.47,0,24.27,124.82,0,0,39.96,0,9.85,0,0,0,5.12,32.86,0,0,0,0,69.54
