stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.11,889.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.56,0,0,0,0,0,0,0,0,0,0,0
  5-6,86.17,593.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.78,5.25,0,0,0,0,6.14,0,0,0,0,11.06,0,0,0,0,0,0,0,0,0,0,0,90.9,5.97,0,0,19.1,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.6,0,0,0,0,8.74,0,0,0,0,4.71,0,0,0,0,0,0,0,0,0,0,0,158.21,0,0,0,50.33,0,0,0,0,13.25,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.08,10.24,10.95,11.44,0,0,0,0,0,0.89,0,0,0,0,4.33,2.22,6.97,0,0,0.8,55.15,1.29,0,0.84,2.28,0,7.16,0,2.73,1.01,0,2.82,14.38,0,0,9.78,0,1.01
 24-34,0,0,0.96,1.41,4.92,1.11,20.66,1.04,0,1.71,0,0,3.01,4.07,4.57,0,0,0.65,6.31,9.47,2.56,0,2.3,80.73,1.7,1.99,0,0,0,18.93,0,0,5.94,0,0,15.85,0,0,41.81,0,2.12
 36-46,0,0,0,0,1.21,0,9.93,0,1.45,2.28,0,2.17,0.68,3.48,0,0,2.33,0,5.72,8.07,0,0,2.59,63.36,5.95,0,1.69,0,0,12.98,0,0,0.59,0,0,3.14,0,0,14.02,0,1.44
 48-58,0,0,0,0.4,1.84,0,18.15,2.22,0.95,3.83,0.39,2.65,0.58,8.62,0.84,1.53,0.37,0.37,5.71,9.32,0.95,0,2.92,27.46,0,2.02,0.38,0,0,30.42,0,0,1.21,0,0,5.88,0,0,23.15,0,17.23
 60-70,0,0,10.54,0,5.57,0,11.72,4.8,0,21.25,4.67,0,1.29,12.54,0.86,13.26,0.67,0,9.9,20.15,0,0.63,1.49,28.88,0,1.44,3.11,0,0,21.62,0,0,0,0,0,1.49,0,0,15.34,0.94,4.43
 72-82,0,0,3,0,4.95,4.39,28.56,0.99,0.77,16.1,1.23,0,0.81,13.01,2.04,5.22,1.62,0,1.32,64.3,1.06,0.89,3.42,53.91,0,6.42,4.76,0,1.2,40.86,0,0,1.23,0,0,0.84,0,0,28.29,1.58,0
 84-94,0,0,0,0,5.16,2.29,19.61,8.85,0.86,7.9,7,1.98,0,22.26,4.64,11.08,0,0,17.05,56.98,1.51,0.86,3.3,33.87,0,7.07,2.98,0,0,118.55,0,0,0,0,0,1.07,1.85,0,27.68,3.3,9.16
 96-106,0,0,3.07,0,5.51,6.45,43.06,5.4,15.49,14.63,13.78,0,1.57,32.94,15.75,3.2,0,0,10.42,71.61,6.34,2.34,2.43,66.08,0,11.12,1.74,0,1.33,106.74,3.39,0,0.73,0.62,0,4.06,2.48,0.66,31.77,0,6.21
108-118,0,0,2.17,0,15.83,10.39,34.47,11.15,0.95,15.25,15.29,0,0,18.13,11.63,2,0.47,2.69,6.7,26.19,4.25,1.74,5.44,55.56,1.37,5.85,4.24,0,1.65,88.01,0,0,3.32,0.48,0,4.76,1.25,0,26.13,1.64,11.89
120,0,0,0,0,32.6,0,6.06,3.3,0,27.25,9.97,0,7.76,25.44,0,10.89,0,1.89,3.24,112.47,24.65,2.33,0,22.07,2.35,0,0,0,14.45,62.77,0,0,2.42,0,0,0,0,0,64.39,20.41,3.58
