stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.69,2.59,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59,1.44,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,10.58,0.53,0,4.17,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,2.31,0,0,0,0,0,0,0,0,0,39.78,10.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,1.13,0.69,0,14.62,0,0,4.7,0.94,0,0,0.51,0,0,377.03,5.25,18.66,3.86,35.15,0,0,0,1.48,0,2.92,0,0,1.44,0,1.88
 84-94,0,1.17,0.76,0,24.2,0,0,0,0,0,0.65,0,0,0.73,1249.06,10.11,16.61,0,24.43,0,0,0,7.81,0.7,1.73,0,0,0,0,0
 96-106,0,5.63,25.92,4.27,106.2,0,1.4,15.57,3.57,0,8.4,0.86,1.7,2.47,2677.07,8,57.74,1.48,332.15,1.35,5.15,2.67,34.04,0,20.06,0.62,1.26,10.56,3.27,0
108-118,3.05,9.2,10.19,1.07,98.43,0.54,2.56,19.68,3.53,0,4.17,0,0,0,5922.86,5.53,71.84,13.86,334.72,0,1.9,4.17,17.44,1.76,11.43,2.29,4.4,6.73,0,3.15
120,0,5.79,5.93,5.97,50.9,2.34,0,2.26,1.33,7.84,0,0,1.58,0,3664.2,0,30.25,0,211.05,0,0,2,10.7,0,2.98,0,0,2.39,0,0
