stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.84,13.75,3.24,0,0,0,0,0,1.08,0,0,0,0,0,0,0,2.14,0,0,1.37,18.03,0,0,0,0,2.73,7.04,1.08,6.05,0,0.89,0,0
 24-34,0,3.66,0,0,2.03,0,0,0,0,0.68,3.45,0,0,0,0.93,0,6.53,0,0,8.46,70.55,3.09,0,0,0,12.04,0,1.27,19.64,0,3.59,0,0
 36-46,0,0,0,0,3.5,1.54,0,1.25,7.04,0,0,0,0,0.85,0,0,8.15,0,0,3.21,54.97,0,0,0,0,2.24,0,0,16.04,0,0.59,0,2.73
 48-58,0,13.36,0,0,9.58,0,0,0.86,8.94,0,0,0,0,0.39,0.44,0,6.02,0.69,0,0.41,83.77,0,0.9,0.44,0,1.83,0,0,16.09,0,0,0,0.54
 60-70,0,2.27,0.72,0,25.6,0.64,3.27,0,15.97,0,0,1.03,0,0,0.8,0,11.61,0,0,5.48,126.17,0,0,0.77,0,4.51,0,0,23.1,1.03,0,0,0
 72-82,0,1.52,0,1.13,9,0,0,1.15,24.1,0,0.56,1.34,0,2.21,0,0,32.58,0,1.99,1.48,56.13,0,0,1.57,0,3.61,0,0,2.99,0.49,2.66,0,0
 84-94,0,1.93,0,0,26.68,0,1.76,0,2.47,0.67,1.31,4.1,0,0,0,0.56,16.34,0,0,0.69,41.71,0,1.6,0,0,16.57,0,0,5.08,0,0,0,0
 96-106,0,1.63,6.09,2.26,10.59,0,0,2.17,10.99,1.91,0,12.47,3.36,0.72,3.28,0.56,8.76,0,0,0.62,51.41,0,0.59,3.22,1.17,6.32,0,0,6.23,0,0,1,0
108-118,0.74,0,0,7.7,36.8,0,0,1.03,2.81,1.41,0,3.07,0.53,1.65,0,1.04,9.72,0,0,1.24,40.79,0.85,5.26,0.55,0,13.82,0,0,0,0,0.59,0,0
120,0,6.63,0,2.84,24.58,0,6.38,1.52,5.98,1.79,0,6.75,0,0,0,0,6.04,0,0,2.04,24.94,0,2.49,0,0,9.02,0,0,15.28,0,0,0,0
