stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,ionocyte,melanocytes,mesenchyme,mural_cell,neural,olfactory,otic,somites,spinal_cord,vasculature
  3-4,18.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.63,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.73,0,0,0,0,0
 10-12,0,0,7.84,0,0,0,0,0,8.01,0,0,0,0,0,10.3,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.82,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.24,0,0,0,1.49,3.07,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.46,0.8,0,5.15,4.64,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.66,0,0.54,0.56,0,4.92,3.34,0,0,1.2,0
 60-70,0,0,0,0.68,0,13.12,0,0,0,1.43,0,0,1.09,0,11.1,0,0,0,1.27,0
 72-82,0,0,0,0,0,12.57,2.25,0,0,0.57,0,0,0,0,7.57,8.22,0,0,3.81,0
 84-94,0,0,0,0,0,8.79,0,0.6,0,9.47,0,0,3.43,0,3.45,0,0,0,0,1.42
 96-106,0,0,0,0,5.1,22.84,0,0,0,7.21,0,0,1.38,0,10.57,2.77,0.6,0,5.89,0
108-118,0,0,0,0,0,3.11,0,0.51,0,3.71,0,0,0,0,3.58,4.84,0,0,0,0
120,0,0,0,0,1.83,29.28,0,1.09,0,14.28,0,0,0,2.22,5.66,9.08,0,0,0,2.09
