stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.51,583.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0
  5-6,14.82,313.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.64,0,0,0,0,0,0,0,0,0,0
  7-9,6.73,0,0,0,0,0,0,0,0,0,0,0,0,5.58,0,0,0,0,0,0,0,0,0,0,94.51,14.84,0,0,10.67,0,67.16,10.25,0,0,0,0,0,0,0,0,0
 10-12,0,11.22,0,21.57,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.05,13.66,0,0,45.43,0,28.63,0,0,23.87,0,0,0,0,0,0,0
 14-21,0,0,0,0.87,7.13,6.61,0,4.12,0,0,0,0,1.09,0,0,0,2.42,0,0,0,5.59,0,0,1.93,8.65,3.37,0,2.27,0,0,38.59,0,2.45,0,10.75,12.05,0,0,5.3,0,0
 24-34,0,0,0,0,7.83,2.2,0,1.94,0,0,0,2.74,0,0,0,0,6.6,0.63,1.01,0,3.71,9.67,0,5.55,25.46,0,1.38,0,0,0,141.21,0,0,1.52,1.32,9.7,0,0,15.07,0,4.06
 36-46,0,0,0,0,1.97,0,0,3.22,0.68,2.26,0,11.52,0,0,0,6.38,17.66,0,0,8.48,4.66,13.21,0,0.68,30.35,0,2.99,0.78,0,0,135.03,0,0,2.02,0,18.97,0,0,8.15,0,0
 48-58,0,0,0,0,18.7,0,0,2.1,0.38,1.55,1.08,14.34,0,0,1.05,0.54,0,0,3.35,0,5.76,6.71,0,1.61,26.62,0,0.64,0.69,0,0,61.3,0,0,0,0,12.54,0,0,1.36,0,0
 60-70,0,0,0,0,1.36,0,0,29.28,0,0,0,49.6,3.04,0,0,0.69,0,0,0,0,6.31,12.45,0,3.47,15.12,0,0,1.03,0,0,63.05,0,0,0,0,11.61,0,0,2.12,0.64,0
 72-82,0,0,0,0,3.62,5.3,0,13.27,0,2.05,3.55,34.58,7.61,0.49,0,0,1.16,0,0,0,10.55,14.02,2.85,4.12,42.42,0.5,0.49,0.65,0,0,13.98,0,0,0,0,4.77,0,0.52,3.04,1.62,0
 84-94,0,0,1.19,0,11.01,11.91,0,20.34,0.67,0.62,0.99,50.71,12.51,0,1.84,0.71,1.54,4.04,1.68,0,19.34,18.3,0,1.29,22.14,0.9,4.82,5.49,0,3.26,98.25,0,0,1.3,0,7.36,0.71,0.77,9.16,0,0
 96-106,0,0,1.53,0,13.56,15.87,0,23.15,0,2.18,0,29.59,16.61,0,2.84,0,0,0.95,0.58,0,6.42,15.92,3.26,4.81,40.08,0,0,3.64,0,0,70.94,0,0,0,0,7.92,2.19,0,3.1,0,0.86
108-118,0,0,0,0,16.35,0.53,0.49,17.94,0,1.23,0,39.08,29.74,0,0,4.39,1.44,0,2.85,0,25.81,4.45,7.48,0.5,21.02,0,0,3.56,0,2.15,44.77,0,0,0,0,0,0.48,0,0.49,0,0
120,0,0,3.9,0,22.2,0,0,21,0,2.1,0,24.31,30.72,0,0,4.28,2.91,5.05,0,3.38,15.48,13.07,0,0,29.59,1.45,1.91,7.71,0,0,68.47,0,0,1.58,0,9.43,1.27,0,14.6,0,0
