stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,3.86,0,0,0,0,0,0,0,3.53,0,0,0
 10-12,0,0,15.91,0,0,0,0,45.16,0,0,0,0,0,0,0,4.49,0,0,0
 14-21,0,0,0,0.93,0,0,0,1.41,0,0,0,0,0,5.31,0,0,0,2.22,0
 24-34,0.84,0.74,0,2.88,0,4.26,0,3.02,0,0,0,0,0,28.98,0,0,0,4.15,0
 36-46,0,0,0,24.85,0,1.27,0,1.68,0,0,0,2.14,0,55.05,0,0,0.72,20.88,0
 48-58,0,1.98,0,23.54,0,5.34,0,5.52,0,0,0,3.8,0,30.55,0,0,0,12.03,0
 60-70,0,0,0,18.77,0,1.5,0,2.16,0,0,0,11.31,0,17.71,0,0,0,1.46,0
 72-82,0.49,0,0,2.34,0.81,0,1.87,1.6,0,0,0,11.16,0.49,0.63,9.68,0,0,1.08,0.53
 84-94,0,0,0,18.02,0,4.47,1.87,2.72,0.71,0,0,15.35,0,8.36,0,0,0,0,0
 96-106,0,0,0,5.76,0,0,2.37,0,0.58,0,1.52,23.14,0,12.38,0,0,0,1.22,0
108-118,0,1.77,0,2.88,0,0,5.39,0,1.81,0,0,17.16,0,7.82,0,0,0,0,0
120,0,0,0,5.45,0,0,9.89,0,0,6.04,1.41,21.63,0,4.29,0,0,0,0,0
