stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,9.61,86.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.26,0,0,0,0,0
  5-6,26,46.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.85,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.54,0,0,0,0,0,14.75,0,0,0
 24-34,0,0,0.8,0,0,0.72,0.62,0,1.36,0,0,0.72,0,0,0,0,0,0,0,0,96.64,0,3.39,0,0,0,13.97,0,0,2.23
 36-46,0,0,1.54,0.65,0,12.66,0.62,0,5.63,0,0,0,0,0.79,0,0,1.86,0,0,0,205.93,0,15.69,1.46,12.05,0,49,0,0,0
 48-58,0,0,0,0.6,0.69,18.38,2.85,0,12.22,0,0,0,0.54,0,0,0,3.02,0,0,0.56,286.42,0,2.32,3.64,0,0,58.63,0,0,0.38
 60-70,0,0,1.46,0.59,0,88.47,0,0,17.74,1.97,0,0,0,0,0,0,2.98,0,0,0,500.33,0,5.06,2.46,0,0.58,91.66,0,0,0
 72-82,0,0,0,3.02,0,147.65,0,0,39.06,2.59,0,0,0,0,0,0,6.67,1.11,1.19,0,591.66,0,8.07,7.45,2.83,0,63.57,0.87,0.63,2.02
 84-94,0,0,0,0.97,0,48.07,0,0,35.05,0,0,0,0,0,2.93,3.45,9.44,0,0.86,9.48,372.04,0,3.82,0.95,1.1,0,34.77,0.9,0,1.91
 96-106,0,0,0,3.34,19.34,88.81,0,2.8,50.68,2.56,0,0,0,0,0,0,13,0,1.02,0,408.63,0,10.61,1.6,0,0,11.35,0,0,0
108-118,0,0,0.41,8.6,7.17,79.46,0,0,53.12,1.86,3.98,0,0,0,3.39,0,10.3,0,0,0,431.3,0,8.25,4.07,1.25,0,11.23,0,1,0
120,0,0,3.52,11.7,0,105.24,0,0,52.72,2.33,1.43,0,0,0,0,0,14.88,0,13.04,0,715.13,0,2.28,0,0,0,63.5,1.19,8.19,3.29
