stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,1.21,2.08,4.66,0,0,2.91,0,0
 24-34,0,0.95,0,0,0,0,0,0,0,0,73.52,0,0,0,0,0,0,2.67,1.83,0,0,0,0,0,0.6,2.59,0,0,75.16,0,0
 36-46,0,0,0,0.94,0.94,0,0,0,0,0,248.91,0,0,0,1.05,0,0,0,0.62,0,0,0,0,0,0,0,2.28,0,105.58,0,0
 48-58,0,6.31,0,1.98,0,0,1.28,0,0,0,321.84,0,0,0,2.43,0,0,0.81,9.57,0,0,0,0,0,0,0,0.98,0,134.11,0,0.82
 60-70,0,9.36,0,2.55,11.48,5.64,0,0,0,0,410.98,0,0,0,1.52,0,0,6.44,22.21,0,0,0,0,0,0,0,0,0,224.47,0,0
 72-82,0,15.16,0,7.63,0,1.17,0,0,0,1.48,595.22,0,0,6.91,4.42,0,1.42,0,8.61,0,0,0.67,0.61,0,0,0,1.3,0,197.62,0,0
 84-94,0,11.87,0,13.9,0.7,0,1.51,0,0,2.56,648.43,0,0,0,2.5,0,0,0.79,4.89,2.03,0.71,0,3.02,0,2.53,0,0,2.45,183.09,0,0
 96-106,3.12,23.38,0,11.21,0,1.25,0,3.66,1.36,0,666.31,0.58,1.58,1.47,14.81,0.71,0,2.11,13.07,0,0,0,1.9,0,0,0,0,0,175.03,1.62,0
108-118,2.31,22.42,0.72,5.95,0,0,0,4.56,1.5,0,728.3,0.73,0,0,16.67,0,1.72,0,9.1,0,0,0,5.12,0,0,0,6.11,0,255.92,3.27,0.58
120,7.28,64.32,0,5.79,0,0,8.5,11.41,0,0,1847.02,0,1.13,0,38.1,0,10.49,12.57,63.22,0,0,0,1.2,0,0,0,0,3.8,645.71,0,0
