stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.74,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.95,0,0,0,0,0,3.96,0,0,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,16.14,0,0,3.89,0,14.33,0,0,0,0,0,0,0
 10-12,6.72,0,18.62,0,0,0,0,0,0,0,0,0,3.53,0,0,0,0,0,0,0,0,0,0,51.83,0,0,5.88,0,12.96,0,0,0,0,0,0,0
 14-21,0,1.13,3.51,8.03,0,0,0,0,0,0,0,2.22,0,0,7.34,0,0,0,0,0,0,0,0,3.5,0,1.87,0,0,197.28,0,5.23,0,0,0,0,0
 24-34,0,0,0.79,16.08,0,0,4.27,0,1.41,0,0,0.92,0,0,50.82,0,0,1.53,0,3.42,12.55,0,0.87,40.3,3.73,1.7,0,0,797.93,0,9.33,0,4.78,0,0,0
 36-46,0,1.4,0,25.66,0,0,0.76,1.18,2.18,0,0,0,8.88,0,44.6,0,0.61,0,0,0,7.34,0,1.08,17.14,9.33,0,0,0,1103.04,0.81,8.41,4.29,9.95,0,4.9,0
 48-58,0,0,0,15.62,0,0,5.85,0,9.42,0,2.67,0,35.58,0,30.59,0,0.53,11.75,0,2.22,8.85,0,3.33,38.42,7.74,1.35,0,0,537.39,0,7.82,0,8.61,0,0,0
 60-70,0,0.62,0,17,0,0,15.99,0,8.59,0,4.16,0.84,14.99,0,20.28,0,1.54,0,0,3.44,12.78,0,0,32.47,0.67,0.71,0,0,698.91,0,8.19,0,5.93,4.12,0,0
 72-82,0,1.18,0.56,20.44,0,0,11.78,0,4.08,3.97,6.88,3.94,6.39,0,36.23,0,4.2,0,0,1.98,12.74,1.08,0.58,31.02,9.45,10.51,0,0,413.67,0,0,0,6.24,0,0,0
 84-94,0,1.19,0,55.1,2.21,0,4.39,0,8.63,0,23.05,20.25,10.94,0,46.31,1.03,0,0,4.86,5.93,20.96,0,0,7.93,3.21,7.18,0,0,1267.94,0,1.79,0,3.39,12.14,0,0
 96-106,0,0,0,71.56,0,3.47,31.02,0,13.46,1.12,12.23,31.56,2.12,1.28,60.56,0,4.8,0.81,0,10.16,20.77,0,1.54,56.37,3.17,16.96,0,1.67,1045.55,0,1.3,0,0,14.9,0,7.59
108-118,0,0.58,0,135.04,1.5,8.7,16.2,0,18.46,1.23,1.85,45.07,0,2.64,88.79,1.56,4.38,5.98,0,8.69,43.48,0,0,32.96,4.85,12.02,0,0,1096.33,0,9.85,1.39,5.09,38.65,0.45,0
120,0,0,0,155.22,0,2.87,0,0,21.34,0,7.79,51.16,0,5.54,74.68,0,13.88,23.03,0,17.77,31.41,0,2.41,48.86,20,5.16,0,0,792.08,0,10.14,0,0,11.32,0,0
