stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2.31,0,3.5,19.34,0,0,1.67,0,0,0,0,2.27,14.66,0,0,0,0,0,0,0,13.97,0,0,1.86,21.97,12.38,0,0,116.07,0.99,0,4.34,5.93,0,0,4.11,0,0
 24-34,0,0,2.9,2.64,0.66,0,6.23,0,3.56,0.76,4.11,1.39,0.81,1.13,0,8.96,0,0,0,0,6.04,9.96,0,3.24,86.01,4.93,4.5,1.55,384.33,0,0,3.86,13.98,0,0,9.47,0,0.78
 36-46,0,0,0,9.04,3.25,0,9.77,0,0.92,3.9,0.87,2.31,0,0.9,0,1.02,0,1.19,0,32.62,10.55,11.41,0,1.29,65.74,3.3,7.92,0,682.43,0.78,0,0,16.28,0,0,1.24,0,0
 48-58,0,0,0,15.37,5.73,0,19.88,0,0.77,0.93,2.34,0.64,0,0.48,0,0,0,3.77,0.37,3.68,37.58,6.65,0,3.8,44.33,0.92,1.67,5.87,443.81,0,0,0,19.19,0,0,2.1,0,2.12
 60-70,0,1.44,0,24.38,1.63,0,22.25,0,0,0,3.57,21.8,0,0,0.98,0,0,0,9.64,0,9.72,0.76,1.04,0.59,64.51,0,2.35,4.18,221.72,0,0.6,0,12.75,3.65,0,3.47,0,0
 72-82,0,6.88,0,11.67,0.5,0,105.94,0,0,0.51,37.34,12.71,0,0.56,0,0.61,0.83,8.47,39.43,11.16,23.22,2.18,0.67,0.55,218.28,2.74,80.9,4.6,86.98,0,0,0,11.32,17.32,0,2.08,0,5.64
 84-94,0,1.86,0,41.23,0,0,64.45,0,0,1.21,9.22,99.33,0,2.41,15.44,13.97,4.43,0.9,4,5.56,20.8,2.62,0,1.93,136.89,0,34.68,0.78,418.38,0,0,0,13.76,104.26,0,47.72,0,0
 96-106,0,3.5,0,80.73,2.61,3.34,91.02,1.06,1.97,0.72,20.87,141.53,0,0,13.77,2.54,0,7.01,10.58,0,14.78,0,1.25,2.43,105.28,0,7.83,12.23,299.68,0,0,0,0,228.77,2.56,56.51,0,3.58
108-118,0,3.09,0.44,168.61,3.38,0,117.15,0,5.54,0,30.7,267.54,0,0,5.69,13.43,0,27.73,3.65,0,46.24,4.55,3.39,4.29,343.53,1.15,13.3,0.44,400.11,0,0,0,0,363.25,0,15.32,0,8.46
120,0,6.25,0,112.53,0,0,27.23,0,10.38,0,19.11,173.64,0,1.85,8.59,10.94,0,9.87,3.42,0,32.98,0,0,1.32,128.42,0,4.9,0,267.07,0,0,0,20.99,155.01,0,0,18.2,33.39
