stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,0,24.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.7,0,0,0,0,0,0,0
  5-6,0,98.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.29,0,0,0,0,0,0,0
  7-9,8.09,12.09,0,3.54,0,0,0,10.52,0,0,0,0,0,101.14,0,0,0,0,0,0,0,0,0,68.5,0,0,0,39.48,0,0,0,0,0,0,0,0
 10-12,0,0,0,28.95,0,0,0,17.12,0,0,0,0,0,269.42,0,0,0,0,0,0,0,0,0,219.05,3.62,0,0,81.21,0,0,16.75,0,0,0,0,0
 14-21,0,0,4.88,3.19,23.74,4.82,0,1.19,0,0,0,1.43,1.93,44.24,0,0,2.31,0,0,1.67,0,0,4.05,63.62,16.11,11.64,2.97,1.41,21.57,16.24,22.56,1.69,21.17,44.12,0,0
 24-34,0,0,1.05,1,5.41,3,0,8.64,0,1.53,0,7.27,0,3.6,0,0,4.4,13.31,0,11.6,2.52,0,6.22,117.32,2.75,62.34,8.87,0,29.42,0,7.55,0,1.62,40.44,0,0
 36-46,0,0,4.61,0,30.09,0,0,5.79,0,1.75,9.93,5,0.58,0,0.92,0,9.44,12.73,0,2.12,1.01,0,0,71.56,1.82,49.03,3.67,0,16.42,0,7.6,0,0,26.96,0,0
 48-58,0,0,0,0,12.45,1.54,0,24.11,0,2.74,0,3.41,0.38,0.48,0.72,0,0,7.39,2.28,2.05,0,0,0,59.33,0,23.06,3.83,0,11.98,0,5.82,0,0,26.6,0,0.42
 60-70,0,0,0.65,0,22.4,0,0,19.62,0,2.61,1.48,4.75,5.44,0.78,0,0,0.86,5.15,4.11,3.31,0,0.59,0,82.04,0,29.36,1.83,0,7.16,0,7.58,0,0,13.35,3.67,0
 72-82,0,0,5.99,0,17.62,8.6,0,6.76,0,7.62,0,15.72,6.2,0,0.66,0.59,4.52,13.13,3.49,10.52,1.38,0.93,1.2,76.7,0,22.74,13.03,0,8.31,0,2.71,0,0,28.02,10.49,1.91
 84-94,0,0,2.99,0,20.67,8,0,2.25,0,0,3.98,9.63,5.28,0.71,2.12,0,0.67,10.24,0,4.56,2.28,0,2.65,87.49,0,36.49,5.65,0,18.4,0,10.12,0,0,11.88,26.33,0
 96-106,0,0,5.2,0,28.51,5.46,0,18.99,0,0.89,0,41.98,6.11,0,1.33,0.56,4.35,30.93,0,7.49,5.67,0,0.81,104.08,0,39.94,0.76,0,39.24,0,3.01,0,0,18.62,63.78,0
108-118,0,0,7.39,0,19.06,11.47,1.66,6.26,0,3,0,19.65,13.43,2.74,0,1.34,10.53,26.79,0,8.06,9.38,1.08,0,128.68,0,25.75,6.36,0,21.47,0,4.74,0,0,20.91,69.34,2.19
120,0,0,0,0,40.29,25.41,1.89,44.19,1.57,22.9,0,15.44,7.64,0,0,0,2.5,18.04,1.38,9.25,0,0,0,285.34,0,17.84,5.19,0,37.46,0,10.52,0,0,4.83,40.34,0
