stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,293.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0
  5-6,29.01,288.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.48,0,0,0,7.28,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,24.42,0,0,0,8.72,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.61,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,72.47,3.62,0,0,4.47,0,0,8.5,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,21.88,0,0,4.73,0,0,0,0,0,0,1.74,0,0,0,0,50.48,8.88,1.23,0,0,17.77,99.07,0,0,0,0,0,7.4,0,0.81,0,117.36,48.15,48.52,0,0,0,0
 24-34,0,0,0,0,13.1,0,0,20.06,2.38,0.8,0,1.32,0.69,0,8.34,0,0,0,0,86.88,0,3.06,0,0,27.25,1628.39,0,0,0.68,0,0,2.85,0,0,0,16.28,30.43,296.2,0,0,0,1.01
 36-46,0,0,0,0,3.7,0,0,62.33,9.12,0,0,40.93,0,0,0.89,0,0,0,0,12.78,31.24,14.78,0,0,3.9,5847.69,0,1.01,0,0,0,10.99,0,0,0,10.64,3.89,996.67,0,0,0,10.21
 48-58,0,0,0,0,7.76,2.12,0,490.06,12.44,7.75,0.66,108.33,0,0,2.36,0,0,0,0,21.34,2.11,32.13,0,10.41,14.46,7047.77,1.1,0.47,2.51,0,0,12.79,0,0,0.53,8.85,0,1233.83,0,0.97,0,12.22
 60-70,0,0,0.62,0,6.46,0,0,1127.95,19.79,7.18,4.25,56.55,0.62,0,0,7.85,0,0,0,4.14,2.61,26.49,0,0.66,18.46,6310.07,3.59,0.89,3.59,0,0,5.34,0,0,0,6.44,0,811.71,0.8,0.84,2.69,8.94
 72-82,0,0,0.78,0,17.51,7.67,0,870.62,12.35,1.57,10.65,42.04,1.72,0,0,0.59,1.66,8.87,0,14.64,0.87,33.06,0.89,19.83,2.01,3728.2,2.74,0.68,0,0,1.4,3.99,0,0,0.68,1.58,0,279.66,7.84,3.95,30.74,18.3
 84-94,0,0,0.81,0,12.01,7.78,0,987.99,22.61,1.53,1.77,54.74,2.83,0,1.02,0,0.64,8.73,0,5.23,2.55,46.88,2.35,24.41,6.58,2690.53,12.52,2.46,1.5,0,3.32,10.53,0,0,0.73,6.08,0,244.2,4.82,6.24,40.36,5.06
 96-106,0,0,0,0,12.35,20.12,0,728.12,27.77,0.59,0,42.34,2.04,1.06,1.32,1.65,2.93,0,0.66,9.89,0,48.38,0,5.18,4.04,1894.89,1.16,0,1.42,1.2,1.17,22.37,0,0,0,6.27,0,77.32,10.24,9.38,67.43,2.46
108-118,0,0,4.14,0.74,28.21,7.72,0,776.85,78.11,1.32,4.41,24.12,1.87,0,0.51,4.35,0.77,3.04,0,5.64,0,51.84,0.68,3.11,12.34,2385.41,3.75,3.15,1.13,0,0.89,12.7,0,0,0,9.42,0,90.12,16.01,0.99,42.33,2.28
120,0,0,0,0,25.4,4.3,1.05,722.93,33.86,0,0,11.9,0,0,0,0,3.1,0,0,2.84,0,41.66,0,11.82,20.31,2702.87,0,0,1.51,0,0,4.34,0,0,0,4.99,0,95.54,20.11,17.81,77.22,0
