stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,heart,mesenchyme,muscle,neural,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  5-6,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,6.47,0,0,2.02,0,0.86,4.67,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.91,0,6.97
 60-70,0,0,0,0,0,0,0.81,0,0,0,0,0,0,3.39,0,0,0,0,0
 72-82,0,6.55,0,0,11.43,0,10.54,0,2.53,0,0,0,0,0,0,0,0,0,0
 84-94,0,5.91,0,0,0,0,15.43,0,0,0,0,0.72,0,0,0,0,0,0,0
 96-106,0,7.07,0,5.6,9.5,2.64,29.95,1.33,0,0,1.61,0,0,0,0,0,0,0,1.41
108-118,0,5.59,0,0,4.77,0,35.77,0,2.11,0,8.56,0,0,0.98,0,0,0,1.08,0
120,0,25.19,0,0,0,0,32.74,0,0,0,7.89,0,0,3.88,0,0,0,0,0
