stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,slow_muscle,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2.17,1.49,0,0,1.83,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0.87,0,0,0,0,0,0,0
 36-46,0,0,0,1.41,0,0,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,1.6,0,60.09,0,0,0,0,0,0,0,0,0,0,0,0,9.57,0.58,0,0,0,0,0,0
 72-82,0.54,1.84,0,480.98,1.33,2.27,2.61,1.16,0,0,0.64,0,0,6.09,0.91,0,19.05,0,0.99,0.54,0,0.52,0,0
 84-94,0,1.96,2.86,577.41,0,0,3.57,0.76,0,1.69,0,0,0,14.18,0,0,3.45,0,0,0,0,0,0,0
 96-106,0,1.36,0,821.91,0,3.06,2.68,3.27,0.8,0,0,0,0,0,0,0,8.69,0,1.91,1.93,0.6,0,3.15,0
108-118,0,7.9,0,683.38,0,0,3.58,1.59,0,1.21,0,1.11,0,6.35,0,0.55,17.77,0,0,0.57,0,0,0,0.57
120,0,8.3,0,1382.67,0,0,0,1.41,0,0,0,0,0,6.66,0,0,9.1,0,0,0,0,0,0,0
