stage,axial,endoderm,exocrine_pancreas,eye,glial,hatching_gland,mesenchyme,muscle,neural,paraxial_mesoderm,spinal_cord
  5-6,6.08,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.82,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.69,5.73,0
 14-21,0,0,0,0,0.87,1.86,0,0,0,0,0
 24-34,0,0,0,0,1.17,0,0,0,1.51,0,0.86
 36-46,0,0,0,0,0,0,0,0.57,2.78,0,1.07
 48-58,0,0,0,0,0,0,0,0,3.46,0,1.54
 60-70,0,0,0,0,0,0,0.69,0,15.68,0,0
 72-82,0,0,0,0,1.64,0,0,0,6.76,0,0
 84-94,0,0,0,0,0.94,0,0,0,6.77,0,0
 96-106,0,0,0,0,0,0,1.89,0,0.83,0,0
108-118,0,0,0.44,1.36,0,0,0,0,2.85,0,3.18
120,0,0,0,3.69,0,0,0,0,10.71,0,0
