stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,7.4,0,0,0,0,0,0,0,0,0,0,27.64,0,0,0,0,0,0,0,0,0,17.16,0,0,0,29.65,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.22,0,8.66,0,9.23,0,0,0,0,0,0,12.75,0,0,0,0,0,0,0,0,0,41.99,0,0,0,146.03,0,0,19.67,0,38.04,0,30.15,0,0,0,0,0,0
 14-21,0,23.13,0,37.16,0.97,2.58,0,2.17,0,2.35,0.82,4.18,0.9,11.83,0,0,0,0,0,0,12.49,22.03,0,0.93,0,0,0,1.06,0,60.55,1.05,3.53,117.65,5.19,0,0,0,0,0
 24-34,0,7.61,0,102.28,0,2.98,0,8.78,0.67,0,0.92,0,1.52,0,0,3.11,0,3.1,0.93,0,2.26,115.95,0,2.46,0,0,0,22.92,0,0,0,0,7.77,7.47,0,0,0,0,3.29
 36-46,0,3.76,0.84,36.81,0,10.54,0,30.55,0,0.76,0,0,1.13,10.79,0,0,1.48,6.67,0,0,0.73,161.35,0,0.89,0,0,0,8.58,0,0,0,0,0,15.81,0,0,0,0,5.22
 48-58,0,1.68,0,31.71,0,14.56,0,13.11,0.83,2.25,0.43,0,6.2,0,0,0,1.26,8.78,0,0,0,95.01,5.31,1.42,0,0,0,4.78,0,0,0,0,0,4.08,0,0,0,0,0
 60-70,0,0.7,2.79,60.07,0,35.41,0,10.67,2.5,0.72,1.4,2.38,9.73,0,0,0,12.53,19.76,1.01,1.33,0,69.12,0,2.84,0.77,0,0,2.74,0,0,0,0,0,9.43,0,0,0,0,1.82
 72-82,0,0.75,0,27.46,0.66,85.73,0,6.67,0,3.16,0.54,0,8.52,0.53,0,0.57,0.87,34,5.21,10.15,0,118.31,0,3.21,0,0,0,0.52,0,0,0,0,0,3,0.56,0.96,0,0,9.19
 84-94,0,0,0,77.98,0.69,32.27,0.73,13.84,2.01,5.6,4.75,0,14.46,1.68,0.78,6.12,8.96,18.7,6.09,0.92,5,76.11,0,0,0,0,2.48,5.75,0,0,0,0,0,9.67,7.47,0,0,4.98,3.76
 96-106,0,2.95,0,47.6,3.11,91.53,0.76,13.24,4.79,5.62,7.14,0,9.66,2.19,0,0.72,0,39.02,8.64,0,3.54,95.75,0,0.63,0.87,0,3.05,4.12,0,0,0,0,0,1.95,4.83,1.03,0.81,0.96,0.9
108-118,0,0,0.74,76.79,0,58.14,0,21.98,0.43,0,5.05,0,11.12,2.16,3.42,0.95,1.51,40.96,9.1,2.81,3.42,67.26,0,7.43,0,0,0,16.71,0,0,1.06,0,0,11.75,14.15,0,0,1.15,3.94
120,0,2.96,0,117.54,0,17.05,1.04,16.19,0,0,7.99,0,16.43,0,0,6.3,3.24,34.52,7.66,4.76,0,178.98,3.89,11.84,0,0,0,2.6,0,0,8.56,0,0,0,5.52,19.02,0,10.7,0
