stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,44.32,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.39,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.91,0,0,0,19.43,0,22.66,0,0,0,0,0
 24-34,0,1.21,0,2.05,0,0,5.06,0,0,0,0,0,0,0,1.76,0,0,0,0,0,0.6,0,0,166.28,0,3.04,0,36.27,1,59.76,0,0,0,0,0
 36-46,0,0.85,0.56,0,0,0,35.04,0,1.53,0,0,0,0,0,0.92,0,0,0,0,2.75,1.35,0,0,403.24,0,0,0,23.12,0,98.63,0,0,0,0,0
 48-58,0,0,0,0.88,0.57,0,99.95,0,0,0,5.93,0,0,0,0,0,0,0,1.34,2.68,0,0.49,0.61,398.34,0,0,0,10.32,0,115.61,0,0,0,0,4.59
 60-70,0,0,0,0,0,0,317.87,0,0,0,1.48,0,0,0,0.75,0,0,0,0,4.21,0,0,0,642.32,0,0,0,29.08,0,132.88,0,0,0,0,0
 72-82,0,1.92,0,8.21,2.7,2.97,946.25,0,0.71,0,15.85,0,0.58,0,2.77,0,0,6.91,0,16.67,0,0,0.54,1042.91,0,4.02,0,4.19,0,105.05,0.97,0.9,0,0,0
 84-94,0,0,0,3.15,0.86,0,562.53,0,0,0.58,15.09,0.96,0,0,0.69,1.05,0.65,0,0,13.78,0,0,4.39,724.13,1.64,2.46,1.26,41.11,0,120.82,0.9,0,0,0.63,0
 96-106,0,1.19,0,14.89,17.9,0,688.27,0,0,0,31.5,6.99,0,1.19,4.49,0,2.94,0,0,33.8,0,0,1.94,945.53,0,2.82,0,48.46,0,42.49,0,0,1.63,2.14,0
108-118,0,0.8,0,16.79,3.79,0,854.47,0,1.37,0,13.44,0.86,1.02,2.04,0.51,0,0.48,0,0,11.47,1.47,0,2.75,1478.59,0.54,0,0.41,38.67,1.48,48.91,3.22,1.4,6.31,0,8.64
120,0,0,0,6.75,0,0,608.17,7.41,0,1.49,11.33,0,0,0,8.18,0,0,0,0,29.17,0,6.66,0,2483.12,0,0,7.82,17.8,2.05,114.32,0,0,2.09,0,7.26
