stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord,vasculature
  3-4,12.8,147.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,0
  5-6,0,183.74,0,0,0,0,0,0,18.67,0,0,0,0,0,9.19,0,0,0,0,0,0,0
  7-9,4.23,7.09,3.37,0,0,0,0,0,0,0,0,0,0,0,23.25,0,8.48,0,0,0,0,0
 10-12,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,22.46,0,3.65,0,0,0,0,0
 14-21,0,0,0,0,0.99,0.82,0,0,0,0,0,0,0,1.07,6.07,0,0,0,0.91,0.83,0,0
 24-34,0,0,0,0,0.92,1.34,0,0,0,0,0,0,0,0,5.13,0,0,2.78,0,0,0.64,0
 36-46,0,0,0,0,0,0,1.03,0,0,0,1.12,0,0,0,1.62,0,0,0,0,0,0,6.05
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.64,1.27,0,0,0,0,0,0,5.87,0,0,6.54,0,0,0,0
 72-82,0,0,0,0,0,4.01,0,0,0,0,0.61,0,0,0,4.96,1.85,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0.78,0,2.68,0,0,5.64,0
108-118,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,2.07,0,0,0,0
120,0,0,0,3.13,0,0,0,0,0,0,0,0,13.76,3.71,0,0,0,2.17,0,0,10.36,0
