stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,31.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.88,0,0,0,15.96,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,17.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.37,3.16,0,0,18.46,0,4.19,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.39,46.73,5.59,33.23,0,0,3.73,3.9,0,0.97,0,0,0,0,0,11.15,0,0,16.75,324.19,9.29,1,5.74,4.76,3.28,22.29,1.01,4.54,63.69,57.85,0,0,0,0,0
 24-34,0,0,0.75,1.3,6.68,0,17.76,0,0,3.09,0,0,0,0,2.01,0,0.7,0,16.08,0,0,4.27,275.07,0,0.77,5.92,0,16.4,0,0.88,0,1.47,40.67,0,0,2.6,0,0
 36-46,0,0,0,0,5.52,0,8.77,0,0,8.32,0,0,1.32,0,0,0.65,0,0.89,25.45,1.91,0,3.89,111.63,5.21,0,3.04,0,23.96,0,0,0,0,22.26,0,0,1.98,0,0
 48-58,0,0,0.67,0,4.27,0,22.84,0,0,16.34,0,0,0,0,0,0,0.47,0,14.48,0.95,0,3.03,87.5,1.03,0.92,0.87,0,7.16,0,0,0,0,11.56,0,0,1.23,0,0.38
 60-70,0,0,0,0,0,0,17.07,0,0,35.54,0,0,0,0,0,0,0.63,0,32.14,0,5.52,0,57.72,5.48,0,0.83,0,13.16,0,1.71,0,0,30.68,0,0,4.04,1.79,0
 72-82,0,0,0,0,2.38,0,10.42,0.56,2.8,26.84,2,0,0,0.51,0,0,4.54,0,36.15,0,1,2.14,42.65,0.52,0.49,3.12,0,3.11,0,0,0,0,5.65,0,0,2.32,0,0
 84-94,0,0,0,0,3.38,0,15.29,0.63,0.91,11.36,0.66,1.22,0,1.21,0,0,0,0,20.96,0,0,8.78,36.35,0,2.58,5.06,0,6.53,0,0,0,0,6.56,0,0,3.57,1.26,0
 96-106,0,0,0,0,2.56,0,20.59,5.93,0,34.11,2.09,0,1.93,0.78,0.75,1.94,6.77,0,21.88,0,0.92,2.49,42.22,0,0.81,8.72,0,10.5,0,0,0,0,0,0,0,0,1.41,0
108-118,0,0,0,0,9.79,0,8.4,0.53,1.04,59.8,0.45,0,0,0.59,0,0,1.15,0,37.11,0,6.03,2.3,42.37,1.35,0,1.33,0,0.51,0,0,0.43,0,2.57,0.71,0.82,5.42,1.14,0
120,0,0,0,0,22.33,0,43.83,7.49,1.82,91.96,1.61,0,0,0,0,0,3.78,0,66.96,0,0,0,47.12,1.29,1.46,1.73,0,6,0,0,0,0,0,3.31,3.79,8.54,0,0
