stage,axial,blastomeres,endoderm,eye,hatching_gland,mesenchyme,neural,notochord,paraxial_mesoderm
  3-4,0,541.51,0,0,0,0,0,0,0
  5-6,32.55,576.67,0,0,0,0,0,17.23,0
  7-9,29.7,18.34,8.46,53.88,3.42,0,238.73,27.94,72.49
 10-12,0,0,0,20.44,6.15,0,59.73,7.14,36.6
 14-21,0,0,0,0,0,1.18,0,0,0
