stage,axial,blastomeres,endocrine_pancreas,endoderm,exocrine_pancreas,eye,glial,gut,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,pericytes,pronephros,somites,spinal_cord,vasculature
  3-4,0,52.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.32,0,0,0,0,0,0,0,0,0,7.99,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,14.01,0,0,0,0,0,0,0
 14-21,0,0,0,0.87,0,0,0,0,3.94,0,0.94,0,0,0,0,0,1.05,0,0
 24-34,0,0,0,0,0,0.69,0,0.66,0,0,0,0,0.83,0,0,3.54,0,0,0
 36-46,0,0,0.85,0,0,0,0,0,0,0,1.06,4.73,0,0,0,5.38,0,1.9,3.33
 48-58,0,0,0,0,0,0,0,0,1.82,0,0,1.35,0,0,0,0.47,0,0,3.48
 60-70,0,0,0,0,0,0.62,0,0,0,0,0,0.99,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,1.19,0,0,1.41,6.95,0,0,0,1.94,0,1.64,16.58
 84-94,0,0,0,0,0,0,1.42,0,1.55,0,0,1.44,0,0,2.56,0.6,0,0,8.32
 96-106,0,0,0,0,0.63,0,2.62,1.5,2.78,1.26,0,1.6,0,0,0,1.44,0,0,9.07
108-118,0,0,0,0,3.01,0,2.42,1.19,0,0,0,8.55,0,0,0,2.14,0,0,11.99
120,0,0,0,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0,0,1.33
