stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.17,0,0,10.48,0,3.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.04,4.54,0,10.93,0,4.24,0,0,0,0,0,0,0,0
 14-21,0,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,0,12.06,0.96,0,2.83,0,0,0,0,0
 24-34,0,0,1.22,0,1.53,0,0,1.74,0,0,3.76,0,0,0,0,0,54.52,0,0,8.06,17.7,0.83,0,0,0,9.79,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,3.02,0,0,0,0,0,1.78,0,0,0,0,0,315.5,0,2.33,28.13,4.17,5.28,0,0,0,5.71,1.39,0,0,0,0,0,0,1.91
 48-58,0,0.73,0,0,13.98,0,0,2.25,3.82,0,2.8,0,0,0,0,0,409.28,0,0.75,58.19,44.6,0,0,0,0,8.53,0,5.9,10.84,0,0,0,0,0
 60-70,0,0,0,0,3.33,0,0,7.47,0,0,0,0,0,0,0,0,565.98,1.7,0,30.1,23.81,0,0.62,0,0,4.15,0,0,6.12,0,5.24,2.95,0,0
 72-82,0,0,0,0,15.09,0,7.88,16.95,3.39,0.75,1.12,0,0,0,0,2.65,660.98,0,2.56,38.09,25.38,0,1.56,0,1.75,11.52,0,0,2.38,0,4.74,0,2.78,0
 84-94,0,0,0,1.09,30.43,0,0.58,8.83,1.36,0,0,0.56,0,0,1.91,0,666.76,0,5.66,52,26.52,0,0,0,0,21.65,0,0,8.16,2.73,11.6,0,14.84,0
 96-106,0,0,0,0,13.07,0,2.08,8.85,1.54,0,3.2,0,0.68,0.75,0,0,795.07,0,5.01,41.74,34.47,0,3.05,0,0.79,26.84,0,0,5.16,0,10.04,1.93,16.66,0
108-118,0,2.27,1.22,6.58,32.97,0,2.14,14.84,3.28,0,1.27,1.37,0,1.95,0,0.79,892.94,0,4.06,26.13,58.54,0,17.81,0,0,35.87,0,0,8.96,0,18.35,0,7.75,0
120,0,7.33,0,0,9.03,2.24,1.05,3.33,0,0,0,1.06,0,0,2.64,0,944.51,0,10.71,40.59,48.14,0,9.31,0,0,39.93,0,0,0,0,27.37,0,8.55,0
