stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,153.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,68.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74,0,0,0,4.44,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,0,17.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,9.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0,0,0,0,0,3.26,0.9,0,0,0,0,0,0,0
 24-34,0,3.48,1.23,0,0,0,0,0,0,0,0,0,0,0,0,50.74,0,4.44,0.67,0,0,0,0,0,4.09,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,117.62,0,0,0.96,0,0,0,0,0,2.46,0,0,0,0,0
 48-58,0,0,8.95,0,0,0,16.99,0,0,0,0,0,0,0,0,171.5,0,0,9.73,0,0,0,0,0,8.11,0,0,0,0,0
 60-70,0,1.35,1022.72,0,0,1.83,20.44,0,0,0,0,0,12.21,0,0,374.45,0,0,3.69,0,0,0,0,0,26.94,0,0,0,0,0
 72-82,0,0.84,2854.42,0,0.95,8.85,33.79,0,0,0.99,0,0,13.59,0,0,425.78,0,0,6.04,0,0,0.71,0,0,41.9,0,0.66,1.67,0,0
 84-94,0,15.66,2420.3,0,1.54,0,72.38,0,0,0.74,0.6,0,15.6,0,3.58,483.2,0,2.92,12.28,0,0,2.98,0,6.3,31.79,0,0,1.58,0.57,0
 96-106,0,13.57,2410.22,0,0.58,0,31.56,1.3,0.82,8.08,0,1.2,16.1,0.71,0,226.37,1.89,1.12,22.46,0,0.97,4.04,0,0,26.62,0,1.74,0,1.19,0
108-118,0,20.15,2100.08,0,0,1.6,53.36,0.41,0,1.67,0.46,2.35,6.68,0,0,335.57,0,0.64,15.06,0,0,0,0,1.28,15.61,1.83,0,1.16,0,2.03
120,0,15.55,1489.3,1.91,0,10.43,62.51,0,0,0,0,0,18.02,0,0,430.18,0,4.59,11.62,0,0,0,0,0,19.73,0,0,0,0,0
