stage,mesenchyme,neural,pronephros
 14-21,0,0,1.66
 24-34,0,3.09,0
 36-46,1.12,0,12.68
 48-58,0.58,0.89,0
 72-82,0.66,1.28,0
 84-94,0,1.46,0
108-118,0,1.69,0
