stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,75.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,87.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.71,0,0,0,21.88,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,22.41,0,0,0,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.85,0,0,0,16.89,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.81,1.91,0,0,2.25,0,0,0,5.14,1.28,0,0,0,0,0,0,0,0.93,0,0,2.16,115.34,2.61,0,2.05,2.69,0,2.32,8.24,26.82,0,2.16,66.19,0,0,0,0
 24-34,0,0,7.62,3.4,0.91,0,37.1,0,0,0.83,18.26,2.64,1.94,0,0,0,0,5.2,0,4.17,0,0,3.8,364.63,0,9.18,4.65,0,0,7.92,0,81.05,0,1.64,99.16,0,2.09,0,0
 36-46,0,0,2.46,2.57,0,0,96.83,3.74,0,0.63,38.34,0,1.45,0,0,0,0,0,0,7.66,0,0,7.86,420.71,0.62,6.52,1.84,0,0,15.88,0,39.43,8.63,0,85.46,0,4.03,0,0
 48-58,0,0,0,8.46,0,0,200.39,0,0,0.82,73.98,0,1.52,0,0,0,0,0,1.59,21.97,0,1,1.64,296.38,0,4.76,6.37,4.77,0,4.77,0,58.27,0.44,0,100.27,0,2.71,0,7.63
 60-70,0,0.62,0,0.63,0,0,118.9,0.68,0,0,121.39,1.23,1.7,9.06,0,0,1.16,2.98,0,31.35,0,0,4.81,247.7,0,1.51,5.55,0,0,9.6,0,22.51,0,0,67.89,1.62,3.24,0,0
 72-82,0,2.08,0,0.98,0.59,3.73,82.21,0.55,0,0,169.5,13.85,0,0,0,0.52,1.49,0.62,0,53.66,0,0,2.21,221.08,0.66,8.28,8.91,0,0,3.54,0,25.16,0,0,29.4,7.99,5.02,2.06,0
 84-94,0,1.53,0,2.83,0,1.52,110.61,2.43,0,0,132.69,27.81,1.46,2.15,0.58,0.66,0,9.55,0,63.81,1.53,0.85,7.06,146.79,1.38,10.96,23.17,0,0,15.57,0,46.66,0.69,0,35.56,9.72,0,0.75,7.05
 96-106,0,4.11,0,9.12,0,0.62,118.85,2.22,0,3.62,159.52,38.28,2.2,4.59,0,0,5.37,28.25,0,50.63,0,0.63,11.48,127.76,0,14.63,27.61,1.2,5.58,15.99,0,41.87,0,0,23.8,10.43,5.9,0,0
108-118,0,2.1,0.74,4.83,0,20.6,122.88,4.53,0.53,0,208.49,120.79,0,0.83,0.42,0,2.19,30.74,0,66.13,2.77,1.34,5.7,142.36,1.6,7.66,32.27,0,0,19.87,0,53.71,1.91,0,21.7,16.72,0.78,0,5.51
120,0,3.01,0,33.25,0,14.69,125.96,0,0,1.49,257.35,184.21,0,0,0,0,0,22.64,0,33.48,0,0,0,123.67,1.57,19.87,13.47,0,0,8.58,0,64.46,0,0,19.07,3.68,2.43,0,0
