stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,liver,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,0,13.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.35,0,0,0
  5-6,8.71,25.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.29,0,0,0,0,0,0,3.76,0,0,0,0,18.62,0,4.88,0,0,0,0
 10-12,0,0,0,0,0,4.48,0,0,0,6.84,0,0,0,0,26.1,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.74,0,0,0,0,0,0.97,0,3.63,0,0,0,0.65,2.58,0
 36-46,0,0,0,4.01,0,0,0,0,0,0,0,0,0.86,0,6.92,0,0,1.16,0,3.47,0
 48-58,0,0,0,0,0,3.29,0,0.8,0.38,0,0,0,0,0.95,27.68,0,0,0,0,1.8,0
 60-70,0,0,0,0,0,12.35,0,0,0,0,0,0,9.33,0,21.9,0,0,6.74,0,5.92,0
 72-82,0,0,0,0,3.67,4.38,0,1.58,0,0,0,0,4.19,0,42.98,0,0,0,0,0,0.77
 84-94,0,0,0,0,0,8.02,0,0,0,0,0,0.98,6.23,0,44.07,1.05,0,0,0.67,0,0
 96-106,0,0,0,0,0,4.84,0,0,1.18,0,0,0,0,0,35.86,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0,43.87,0,0,0,0,0,0
120,0,0,0,10.22,0,0,0,0,0,0,18.25,0,2.5,0,148.02,0,0,0,0,0,0
