stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,0,138.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.08,95.73,0,0,0,0,0,0,0,0,0,10.2,0,0,0,6.32,0,0,0,0
  7-9,0,0,0,0,0,0,5.84,0,0,0,0,22.84,0,0,22.18,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.23,0,0,0,0,0,0,0,4.14,0,0,0,0,0
 14-21,0,0,0,0.86,0,0,0,0,0,1.72,0,1.93,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.73,0,1.25,0,0,21.68,0.94,0,0,0,0,5.89,0,0
 36-46,0,0,0,0,0,0,1.13,1.39,2.71,1.51,0,129.29,0,0,0,0,0,24.74,0,0
 48-58,0,0,0,0,0,0,5.42,0,2.06,0.66,0.68,210.56,0,0,0,0,0.42,41.81,0,6.12
 60-70,0,0,0,0,0,0,35.8,0,0.8,0.68,0,364.36,0,0,0,0,0,58.61,0.73,0
 72-82,0,0,0.64,0,0,7.46,26.66,0,4.13,1.57,0,418.04,0,0,0,0.95,0,22.95,0,0
 84-94,0,0,0,0,2.2,0,40.48,0,4.87,1.25,0,232.23,0,1.22,0,0,0,20.59,0,0
 96-106,0,0,0,0,0,0,33.12,0,3.19,0,0,276.43,0,0.78,0,0,0,10.99,0,0
108-118,0,0,0,0,0,0,40.3,0,3.66,0.98,0,206.46,0,0,0,0,0,4.39,0,0
120,0,0,0,0,11.44,0,16.07,0,0,6.93,0,232.75,0,0,0,0,0,25.64,0,0
