stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,211.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,0,0,0
  5-6,85.91,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.24,0,0,0,11.23,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.07,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,4.18,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,1.86,0.95,0,0,0,0,0,0,0,1.02,0,0,0,0,0
 24-34,0,0,2.52,0,0,0,0,0,0,0,0,0,0,2.41,0,0,0.97,0,0,0,0,0,0,0,0.79,0,0,0.76,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,16.62,0,6.01,0,0,0,0,0,0,5.12,0,0,0,0,0.67,0,0
 48-58,0,0,0,2,0.37,1.72,0,0,0.45,0,0,0,4.05,15.76,0,2.53,0,0,0,0,0,0,0,0,0,0,0,3.38,0,1.65
 60-70,0,0,0,5.1,5,0.9,2.21,0,1.69,1.44,0,0,0,49.97,0,4.03,1.29,0,0,0,0,0,1.54,0,0,0,0,3.13,0,0
 72-82,0,0,0,0.51,0,0,12.79,0,2.63,0,0,0,0,81.13,2.3,5.31,7.72,0,0,0.56,0,0,2.67,0,0,0,0.99,2.92,1.25,7.19
 84-94,0,0,0.63,5.33,0.66,0,12.61,0.71,0,1.96,0,0.66,0,58.59,0,1.49,3.46,0,0,0,0,1.31,4.35,2.8,0,0,1.24,1,0,0
 96-106,0,0,8.35,4.57,0.63,0,11.28,0.56,6.56,0,0,0,0,89.27,3.76,1.94,5.76,0.7,2.53,0,0,0,11.06,0,0,0,0,13.41,2.24,1.44
108-118,0,0,3.02,10.39,4.77,1.72,12.7,0,1.02,0,4.24,0,1.59,156.89,2,10.46,12.34,0,0,0,0,1.58,1.88,0,0.48,1.89,0,17.26,0,3.1
120,0,0,1.17,0,10.06,0,2.25,0,0,0,0,0,0,55.87,2.58,0,1.58,0,1.99,0,0,0,7.08,0,0,0,0,17.97,0,9.75
