stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,glial,gut,immune,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,0,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.54,35.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.97,7.02,0,16.48,0,0,0,0
 10-12,0,0,0,7.74,0,7.92,0,0,0,0,0,0,0,0,0,0,0,22.14,0,0,0,0
 14-21,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,7.23,0,0,0,0,56.57,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.39,0,0,0,0,0.63,0,0
 36-46,0,0,0,0,0,0,0,1.45,0,0,0,0,0.61,0,83.02,0,0,0,0,0,0.84,0
 48-58,0,0,0,0,0,7.43,0,2.68,0,0,0.44,2.11,3.12,0.62,230.78,0,0,0,0,0,1.73,0
 60-70,0,0,0,0,2.08,46.11,0,14.14,0,0,0,0,7.8,0,508.71,0,0,0,0,0,10.01,0
 72-82,0,0,0,0,0.7,183.36,1.37,17.29,0,0,0,0,13.14,4.25,715.29,0,1.78,0,0.8,0,5.44,2.29
 84-94,0,0,0,0,0,115.85,0,9.67,0.94,2.43,0,0,6.61,0,402.27,0,0,0,0,0,4.03,8.99
 96-106,0,0,0,0,7.11,85.58,0,14.79,0,0,0,0,10.35,0,333.04,0,0,0,3.91,0,2.39,0
108-118,0,0,0,0,1.22,49.65,0,40.89,0,0,0,0,15.95,2.26,612.88,0,0,0,0,0,6.1,0
120,0,0,0,0,0,21.07,0,45.07,0,0,0,0,15.94,0,696.9,0,0,0,0,0,2.02,0
