stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  7-9,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,7.88,0,0,0,0,0,1.3,0,0,0
 24-34,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,40.69,4.75,0,0,0,0,18.59,0,0,0
 36-46,0,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0.83,150.82,2.06,25.43,0,0,0,25.07,0,0,0
 48-58,0,0,0,0,29.96,0,0,0,1.21,0.44,0,0,0,0,0.59,0.81,0,1.07,244.15,5.81,0,0,3.05,0,20.21,0.47,0,0
 60-70,0,0,0,0,315.37,0,0,0,8.78,0,0,0,0,1.37,5.57,0,0,5.75,349.74,10.87,0,0,11.85,0,17.21,0,0,0
 72-82,0,0,7.92,0.51,839.15,0,0,0,23.42,0,0,0,0.66,3.06,9.61,0,0.9,0,483.89,14.14,0.67,0,0,0,22.4,0,1.27,7.57
 84-94,0,0,0,4.38,644.09,0,0,1.36,21.08,0,1.59,0,0,2.93,11.75,0,0.55,0,427.5,15.91,0,0,1.07,0,23.79,3.02,0,0
 96-106,0,0,10.72,14.26,1079.54,1.53,0.9,0,53.89,0,1.61,0,0,2.22,32.57,0,0,0,494.41,15.64,0,3.46,4.56,0,12.65,2.65,0,9.96
108-118,0,0,3.53,1.11,1191.94,0,0,0,68.49,0,0,0,0,6.11,3.61,0,0,4.29,486.63,15.01,0,0,3.97,0,10.69,0.86,0,0
120,0,3.17,16.67,5.19,754.15,0,0,0,127.11,0,0,4.01,0,0,18.47,0,0,0,819.08,50.73,0,0,0,3.15,18.64,6.51,0,0
