stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,xanthophores
  5-6,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0,3.61,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0
 24-34,0,0,0,0,2.64,0,0,0,0,0,0,0,0,1.46,0,1.45,0,0,0,0.7,1.52,0
 36-46,0,0,0,0,4.72,0,0,0,0,0,0,0,0,15.29,0,0,0,0,0,0,3.16,0
 48-58,0,0,0,0,15.49,0,0,0,0,0,0,0,0,52.15,0,0,0,0,0,0,1.8,0
 60-70,0,3.94,0,0,79.29,0,0,0,0,0,0,0,0,51.02,0,0,0,0,0,0,3.47,0
 72-82,0,0,0.92,0,186.86,0,0,0,0,0,3.64,0,0.77,103.47,0,0.97,0,0,1,0,3.99,0
 84-94,0,1.5,0,0,227.87,0.67,0,0,0,0.62,4.59,0,1.32,48.02,0.62,0,0,0,0.74,0,0,0
 96-106,0,0,9.17,1.05,301.41,0,1.69,0,0,0,2.28,0,3.03,50.65,0,0,0,4.36,5.14,0,0,0
108-118,0,0.99,13.47,0,278.1,0,0,1.1,0.43,0,2.49,1.09,0.72,67.14,2.66,1.3,0,0,0.74,0,3.39,0.59
120,0,0,0,0,591.32,0,0,0,0,5.65,0,0,0,185.33,0,0,0,0,2.61,0,0,0
