stage,epidermis,eye,glial,gut,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.19,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
 24-34,0,0,0,0,0.69,0,0.61,0,0,0,0,1.92,0,1.74,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,11.25,0,0,0,0,0
 48-58,0,0,0.69,0,0,0,0,0.43,0.51,0,0,5.54,0,0,0,0.49,1.26
 60-70,0,0,1.54,0,0.56,0,0,0,0,1.01,0,14.26,3.32,0,0,11.18,0
 72-82,0,0.7,0,0,2.11,0,0,0,0,0,0,5.6,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,2.29,0,0,0,2.78,0,0,1.71,0
 96-106,0,1.64,1.52,0.71,0,0,0,0,0.82,0,0,0,0,0,0,0,0
108-118,0.96,0.85,0,0,0,0.56,0,0,0,0,1.31,2.42,0.89,0.48,2.35,1.76,0
120,0,13.57,0,0,0,0,0,0,0,0,0,4.07,0,4.09,0,0,0
