stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,8.23,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0,0,0,0,0,5.43,0,0,15.53,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.15,30.02,0,2.25,1.36,0,0,0,15.52,0,0,0,0,0,0,3.46,0,0,0,0,0,21.55,40.61,9.21,0,0,0,43.71,0,0
 24-34,0,0,0,1.97,2.71,0,0,5.57,0,0,0,35.21,5.16,0,0,0,1.18,0,46.12,0,0,0,0,0,0,96.64,1.32,4.24,0,0,132.85,0,0
 36-46,0,0,0,1.07,0,0,2.72,0,0,1.32,0,6,0,0,0,15.36,0,0,137.19,1.42,0,0,0,0,0,65.29,0,20.43,0,0,161.55,0,0
 48-58,0,0,0,0,3.17,0,9.71,2.97,0,0.8,0,19.01,1.23,0,0,0,2.71,0,188.74,0,0,0,0,0,0,21.95,0,7.6,0,0,118.05,0,0
 60-70,0,0,0,5.75,0,0,28.34,1.68,1.69,2.43,0,41.8,1.8,0,0,0,23.03,0,383.09,0,0,0,1.65,0,0,22.49,0,12.11,0,0.86,100.67,2.76,5.95
 72-82,0,0.64,3.87,0.73,0,0,50.8,0.78,0,4,5.92,54.81,9.29,0,0,0,15.2,6.57,608.81,0,7.44,0,1.97,1.04,0,11.48,0,18.5,7.96,6.91,225.45,0,8.88
 84-94,0,0,0,0.64,0.71,0,53.2,0,0,4.21,22.7,26.67,6.63,0,1.67,0,16.62,2.88,480.12,0,4.51,0,0,0.76,0,29.43,0,23.18,0,0.88,201.19,1.02,2.1
 96-106,0,0,0,8.67,0,0,52.54,2.64,0,9.92,20.31,38.66,8.59,9.11,0,3.85,35.23,2.2,375.1,2.2,2.69,0,1.05,1.68,0,24.66,0,4.18,0,3.37,232.58,0,14.4
108-118,0,0,0,2.35,12.34,0.5,29.14,4.84,0.61,3.62,26.7,49.83,4.5,0,0,8.07,34.42,9.75,400.83,1.82,4.51,0,0,5.27,0,34.31,0,6.49,0,6.53,245.85,0.61,6.22
120,0,0,0,8.51,3.25,0,39.79,0,5.33,17.84,9.55,25.25,9.18,0,0,1.06,22.9,33.12,715.24,0,6.87,0,0,0,0,29.59,0,7.97,0,3.93,220.34,3.95,16.56
