stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,24.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.85,0,0,0,0
 10-12,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.07,0,0,0,0,0,0
 14-21,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,17.46,0,0.95,3.57,3.92,5.78,0
 24-34,0,0,1.22,0,0,0,0,0,0,0,1.1,0,0,0,6.21,0,11.66,0,0,6.89,0,22.36,0
 36-46,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0.68,14.46,0,0,0,0,1.19,0,18.97,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,26.8,0,0.56,0,0,1.18,0,10.12,0
 60-70,0,0,0,0,0,0,0,6.82,0,0,0,0,0,0.69,21.16,0,1.25,0,0,0,0,23.67,0
 72-82,0,0,0,0.68,0,0,0.81,2.87,0,0,0,0,0,6.89,50.42,1,6.7,0,0,0.72,0,21.08,1.62
 84-94,0,0,0,0,0,0,0,1.1,0.57,0,0,0,0,6.56,49.92,0,2.18,0,0,12.07,0,19.2,0
 96-106,0,0,0,0,0.77,2.05,0.66,4.26,1.51,8.28,0.58,0,0.9,8.12,68.93,0,2.19,0.59,0,1.52,0,9.52,0
108-118,0,0,1.16,0,0,4.44,0,0,0,5,0,0.49,0,11.18,24.5,0,5.25,0.99,0,3.93,0,11.98,0.72
120,0,0,1.67,0,0,0,0,1.95,0,17.88,3.26,3.6,0,17.55,22.1,0,0,1.11,0,2.78,0,0,0
