stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,7.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.25,0,0,0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56,0,0,0,0,0
 24-34,0,0,0,0,0,2.93,0,0,0,2.28,0,0,0,0,0,0,3.35,0,0,102.21,0,0,0,0,0,0,6.67,0,4.98,0,0
 36-46,0,0,0,3.49,0,27.81,0,0,0,54.02,0,0,0,0,0,0,19.13,1.69,1.2,815.26,0,0,0,0,0,0,81.06,0,2.35,0,0
 48-58,0,0,0,4.94,1.51,122.73,0,0,8.6,181.02,3.32,0,4.61,0.89,0,0,94.19,14.25,11.53,1400.87,5.71,0,4.95,0.95,0.38,0,201.76,0,8.46,0,6.07
 60-70,0,0,0,9.65,15.15,348.8,1.44,4.61,5.92,145.79,0.93,2.15,0,2.05,0.87,0,169.31,25.75,17.83,1787.11,3.91,3.96,4.06,0,2.44,0,204.85,0,5.87,0,0
 72-82,0,0,0,11.08,0,412.15,0,0,3.32,92.11,1.44,0,0,4.6,0,0,175.42,7.64,18.47,1474.77,0,0,5.63,1.1,0,0,109.61,3.15,10.59,3.13,0
 84-94,0,0,0,6.34,0,212.19,0.76,1.31,3.62,57.61,3.43,0,0,1.35,1.17,0,102.89,11.62,23.54,698.9,7.72,0,7.64,1.65,1.41,0,100.81,0.89,6.76,6.76,0
 96-106,0,0,1.98,3.32,9.65,141.28,3.44,0,1.34,39.18,0.88,0,0,2.39,0,0,73.43,2.97,9.45,448.37,2.03,0,0.96,5.33,3,0,36.35,4.98,11.17,6.57,8.09
108-118,0,0,0,15.18,0,170.97,0,1.05,5.97,59.88,5.83,1.42,0.53,0.74,0,2.11,124.33,12.02,16.22,651.24,2.81,1.52,1.28,0,1.25,0,20.68,0.53,24.09,4.83,1
120,1.19,0,0,18.48,3.13,227.33,0,1.37,2.63,187.14,2.63,2.51,5.07,0,17.89,13.03,284.85,39.57,10.17,1539.36,10.55,0,4.56,16.03,1.1,0,10.9,1.95,24.37,0,27.65
