stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
  3-4,11.89,181.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.23,178.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.59,1.77,0,0,0,0,0,0,0,0,0.94,0,0,4.14,0,0,0,0,1.11,3.49,0,0
 24-34,0,0,1.04,0,0,0,0,0,0,0,0,0,0,2.44,0,0.68,23.01,0.75,0,0,1.58,0,10.65,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.61,5.39,0,0,9.59,0,0,0,0.87,0,16.6,0,0
 48-58,0,0,2.04,0,3.07,0,0,0,0,0,0,4.16,0,0.93,0,0,33.08,0.88,0,0,0.71,0,22.55,0,0
 60-70,0,0,0,0,2.52,0,0,0.73,0,0.6,0,0,1.52,4.29,0,0,41.22,0,1.23,0,1.45,0,27.06,0,1.36
 72-82,0,0,0.8,0,3.67,0,0.78,3.13,1.01,0,0.56,0,0,11.31,0.74,0,36.57,0,0,0,0,0,19.13,0,0
 84-94,0,0,1.3,0,14.16,0,0,0,0,3.69,1.83,0,0,5.7,0,0,23.8,0,0,0,0,0,0.66,0,0
 96-106,0,0,1.07,0,2.77,0,0,0,0,0,0,0,1.6,1.96,0,0,11.64,0,0,0,0,0,0.9,0,0
108-118,0,0,0.55,0,2.42,1.73,0.82,0.99,0,0,0.83,0,0.41,1.74,2.16,0,15.31,0,0.63,2.78,0.56,0,0.47,2.78,0
120,0,0,4.69,0,16.22,0,0,2.66,0,4.46,3.27,0,3.17,1.6,0,2.32,31.66,0,0,0,8.29,0,0,0,0
