stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,10.9,195.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.68,0,0,0,0,0,0
  5-6,16.2,210.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.95,0,0,0,16.25,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.38,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.14,0.85,0,1.65,0,0,0,1.11,0,0,0,0.96,0,0,0,0,0,0,0,0,51.09,0,1.04,0,0,0,0,1.53,0,38.71,0,0,0
 24-34,0,0,0,0,0,3.12,0,0,0,2.06,0,0,0,0.77,0,2.05,0,0,0.78,0,0,0,257.08,0,4.86,2.91,0,0,0,0,0,87.38,0,1.19,0
 36-46,0,0,0,0,1.55,8.83,0,0,0.6,4.02,0,0,0,0,0,0,0,0,1.18,0,0,0,642.81,0.68,9.98,2.33,0,0,0,0,0,163.12,0,0,0
 48-58,0,0,0,0.69,0,47.23,0,1.49,0,3.87,0,0,0,0,0,7.49,0,0,11.81,0.63,0,2.93,905.98,0,5.53,17.3,0,0,3.07,0,0,154.07,0,1.38,6.3
 60-70,0,0,0,6.9,0.6,294.46,0,0,0,13.96,0,10.11,0,0,0,19.93,0,0,16.88,1.83,7.45,0.71,2447.56,0,1.93,45.65,0,0,4.06,0,0,261.97,0,0,0
 72-82,0,0,0.58,3.79,0.85,471.72,2.3,0.55,7.14,27.8,1.95,0.51,0,0.56,0,31.32,0,3.59,19.59,0.93,0,1.26,2379.14,0,8.79,75.3,0,0,3.8,0,0,209.15,1.01,2.32,24.18
 84-94,0,0,0,5.1,4.9,308.91,0,0,8.01,18.95,0,0.88,0.95,0,3.43,44.01,0,0,16.34,3.53,0.63,0,1642.74,0,0.95,101.61,0,0,5.26,0,0,148.45,0,0.97,0
 96-106,0,0,0,10.85,9.8,345.37,0,0,0,27.23,3.01,0,1.53,0,0,84.91,0,6.45,24.13,0,0,1.39,1253.62,0,1.03,140.3,0,0,2.87,0,0,55.18,0,1.85,8.67
108-118,0,0,1.03,20.35,1.05,416.36,0,1.07,0,22.25,2.2,0,2.12,1.28,0,66.98,1.06,0,12.95,0,5.71,0,2337.9,0,0.95,111.42,0,2.98,0.63,0,0,56.53,0,1.17,0
120,0,0,0,30.47,6.44,318.23,0,1.06,19.12,17.92,1.38,0,2.13,0,0,43.66,0,0,58.2,0,0,0,3058.02,1.03,6.65,164.48,0,3.68,3.17,0,2.43,68.45,0,0,0
