stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
 10-12,5.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.72,1.07,1.78,0,0,0,0,0,1.66,0,0,0,0,0.86,5.31,4.2,0,0,0,2.08,0,0.95,1.31,0,0
 24-34,0,1.5,0,2.04,0,0.63,1.24,0,0,0,1.31,0,0,0.62,1.07,2.12,19.62,1.43,0.62,9.15,0,0,0,3.04,0,0
 36-46,0,0,0,1.73,0,0,0,4.83,0,0,0,0.56,0,0,0.86,1.24,15.41,0,0,0,0,0,0,1.22,0,0
 48-58,0,0,0,3.26,0,3.19,0.4,3.1,0,0,0,0,0,0,2.97,0.53,18.45,0,0,1.82,0,1.4,0,2.98,0,1.07
 60-70,0,0,2.47,6.07,1.02,0,0,3.17,0,0,7.17,0,6.68,0,0.6,0.77,7.62,0,0,3.93,0,0.65,0,0,0,0
 72-82,0,0.76,0,15.79,0,0,0,10.41,0,0,0.89,0,3.43,0,13.41,0.91,15.79,0,2.52,5.5,0,0,0,1.5,3.48,0
 84-94,0,0,0.69,4.77,0,0,0,0,0,0,0,0,1.35,1.76,6.2,0,11.47,0,0,1.89,0,0,0,0,0.86,0
 96-106,0,0.6,0,25.1,2.82,0,0,0.66,0.77,0,0,0.77,0,0,10.2,0,10.01,0,0,4.27,0,0,0,0,0,0
108-118,0,0,0,10.05,0,0,0,0.61,0,0,0.52,0,1.16,0,1.93,0,11.33,0,0,2.61,0,0,0,0,0,0
120,0,0,2.21,3.35,0,0,10.64,0,0,0,4.52,0,5.05,0,4.29,0,10.11,0,3.16,11.26,0,0,0,0,0,0
