stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,40.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.5,113.05,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,19.35,0,6.65,0,0,46.22,0,0,0,0,0,12.32,0,0,0,0,0,0,0,0,207.24,6.97,0,0,43.77,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.17,0,0,13.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.06,0,0,0,57.73,0,0,4.5,0,0,0,0,0
 14-21,0,0,0,0,8.66,1.37,2.15,0,0,0,0,0,0,0,0,0,0,0,3.2,0,2.78,20.67,0,0.85,0,0.92,5.73,3.57,0,4.83,8.96,0,0,0
 24-34,0,0,0,1.12,0,0,3.9,0,0,0,1.74,0,0,0,0,0,0,0,3.08,0,2.88,43.53,1.5,2.32,0,0,4.96,0,0.65,0,15.79,0,0,0
 36-46,0,0,0,0,1.76,0,5.4,2.61,0,0,3.39,0,0,0,0.56,0,0,0,10.67,0,2.05,74.16,9.82,3.36,0,0,1.58,0,0,0,14.97,0,7.74,0
 48-58,0,0,0,0,11.29,0,9.88,0.67,0,0,3.81,0,0,0,0,0,0,0,15.87,0.81,0,95,0.75,0,0,0,19.69,0,0,0,25.75,0,1.86,0
 60-70,0,0,0.57,0,7.4,0,18.6,0,0,0,5.25,0,0,0,0,1.28,0,0,14.89,0,0,118.5,0,0,0.59,0,5.36,0,0,0,5.3,0,0,0
 72-82,0,0,0,0,6.9,0,37.48,0,0,0.9,6.77,0.66,0,3.94,0.55,0,0,0,11.66,0.75,0,112.25,0,1.23,0,0,12.1,0,0,0,11.72,0.74,0,0
 84-94,0,0,0,0,2.79,0,30.55,0,0,0,6.09,0,0,0,0.62,0,0.61,0,0.9,0.98,0,64.01,0,0,0,0,12.37,0,0,0,2.8,0,1.24,0
 96-106,0,0,0,0,3.82,0,22.39,0,0,0,8.8,0.67,0,1.67,1.12,0,0,0,3.96,0,0,67.61,0,3.96,0.85,0,19.11,0,0,0,3.68,0,3.4,0.67
108-118,0,0,0.57,0,8.4,0,15.28,0,1.85,0,1.07,1.41,0,1.23,2.88,1.58,0,6.58,4.81,0,1.08,93.37,0,3.01,0,0,12.66,0,0.42,0,4.04,1.02,0,0
120,0,0,0,0,3.58,0,32.61,0,0,6.89,25.85,3.85,0,8.93,2.5,0,0,0,10.45,0,2.94,93.15,0,0,0,0,4.87,0,0,0,0,0,1.23,0
