stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,neural,notochord,otic,periderm,pgc,pronephros,spinal_cord,taste,vasculature
  3-4,63.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.26,4.06,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,14.55,0,0,0,0,0,0.92,23.98,2.38,0,0,0,0.86,3.1,0,0,0,0,0,0,0,2.61
 24-34,0,0,0,11.02,0,0,0,0,0,3.27,51.04,0.63,0,0,0,0,4.54,0,0,0,0,0,0.92,0,24.36
 36-46,0,0,0,0,0,0,0,0,0,0.99,71.43,0.58,0,0,0,0,5.04,0,0,0,0,0.58,0,0,21.62
 48-58,0,0,0,0.89,0,0.44,0,10.72,0,1.86,52.87,0.37,0,0,1.53,0,15.8,0,0,0,0,0,0,0,22.1
 60-70,0,0,0,2.94,0,7.42,0,0,2.05,0,71.78,0,0,0,9.62,0,10.04,0,0,0,0,0,0,0,11.14
 72-82,0,0,1.32,10.9,0,2.03,0.77,2.74,5.08,3.27,109.96,0.54,0,6.61,18.49,0,2.05,0,0,0,0,0,0,0.68,44.02
 84-94,0,0.8,0.83,3.01,0,0,0,0,3.99,2.23,123.9,0,0,0,6.17,0,0,0,0,6.47,0,0,1.28,0,21
 96-106,0,0,1.42,28.5,0,1.75,0,0,6.34,0.61,183.02,0,0,7.1,21.03,0,14.85,0,0,0.76,0,0,0,0,46.73
108-118,0,0.8,4.81,11.61,0,0,1.84,0.88,2.95,0,154.17,0,0,0,2.57,0,12.07,0,0,0.47,0.42,0,0,0,26.56
120,0,0,3.39,20.01,1.09,16.64,0,0,10.68,0,199.38,0,1.72,0,0,0,0,0,1.02,2.4,0,0,0,0,55.02
