stage,epidermis,eye,glial,mesenchyme,neural,slow_muscle,spinal_cord,vasculature
  7-9,0,0,0,0,16.04,0,0,0
 14-21,0,0,0,0,19.99,0.84,1.33,0
 24-34,0.69,0,0,0,14.84,0,0,0
 36-46,0,0,1.28,0,16.56,0,0,0
 48-58,0,5.1,0,0.39,10.88,0,0,1.61
 60-70,0,0,2.42,0,1.95,0,0,0
 72-82,0,0,0,0,3.17,0,0,0
 84-94,0,0,1.87,0,0,0,0,0
108-118,0,0,6.23,0,0,0,0,0
120,0,0,0,0,10.7,0,0,0
