stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,46.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.34,0,0,0,0,0,0,0,0,0
  5-6,6.12,56.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25,0,0,0,0,0,0,0,0,0
  7-9,4.99,9.84,0,4.21,0,0,11.07,0,0,0,0,0,0,0,0,0,0,47.21,3.29,0,0,28.61,5.4,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.24,0,0,0,0,0,0,0,0,0,0,0,0,0,106.12,9.41,0,0,97.47,0,0,45.86,0,0,0,0,0,0,0
 14-21,0,0,2.75,3.94,16.26,11.53,4.42,0,14.1,2.46,0,0,0,0,13.55,0,14.62,96.65,13.99,0,1.1,22.14,0.85,99.93,0,111.79,204.89,0,0,0.98,0,0
 24-34,0,0,0,0.89,0.83,2.27,3.31,0.62,4.08,1.59,1.15,0,0,4.06,10.9,0,7.84,48.31,1.98,0.67,0,0,0,1.41,0,14.34,109.28,0,0,0,0,2
 36-46,0,0,0,0,0,0,2.59,0,0.73,0.56,0,0,0,0,2.44,0,1.4,22.43,0,0,0,0,0,0,0,0,20.27,0,0,0,0,0
 48-58,0,0,0,0,1.44,0,5.09,0,1.45,0,0,0,0.57,0.56,0.53,0,0,6.92,0,0,0,0,0,0,0,0,4.39,0,0,0,0,0
 60-70,0,0,0,0,0.73,0,68.19,0,1.57,0,0,0,0,0,3.05,0,1.54,6.21,0,0,0,0,0,0,0,0,0,1.53,1.51,0,0,0
 72-82,0,0,0,0,0,0.84,304.36,0,0,0,0,1.28,2.39,0,2.05,2.15,0,8.32,0,0,1.46,0,0,0,0,0,1.21,11.22,0,0,2.3,0
 84-94,0,0,0,0,1.87,0,398.18,0,0,0,0,0,0,2.16,6.33,0,0,5.17,0,1.7,0,0,0,0,0,0,0,49.83,0,0,7.77,0
 96-106,0,0,0,0,2.83,0,437.9,0,0,5.46,0,0,0,0,3.84,0,0,17.3,0,0,0,0,0,0,0,0,0,103.88,1.64,0,0.83,9.32
108-118,0,0,0,0,19.02,2.47,332.53,0.49,2,1.36,0,0,0,0,6.63,0,1.65,7.69,1.15,1.39,0.72,0,2.07,0,0,0,0,141.65,1.98,0,0,0
120,0,0,0,0,12.62,2.65,553.28,0,12.36,1.42,0,0,0,0,2.97,0,0,23.13,0,0,0,0,0,0,0,0,0,61.36,0,0,0,0
