stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,heart,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,vasculature
  3-4,28.68,23.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,31.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,12.76,0,0,0,0,0,0
 10-12,0,0,0,0,4.39,0,0,0,0,0,0,0,0,4.33,0,0,0
 14-21,0,0,0,0,0,0.98,0,0,0,0,4.14,1.03,0,0.99,0.92,1.91,1.23
 24-34,0,0,0,0,1.23,1.13,0,1.42,3.13,1.02,39.14,0.86,0.81,4.49,1.33,2.12,1.13
 36-46,0,0,0,0,11.16,0,0,0,6.47,0,49.66,0,0,4.73,0,4.98,0
 48-58,0,0,2.9,0,20.59,1.76,0,0,1.72,0.87,66.65,0,0,2.5,0,2.54,0
 60-70,0,0,0,0,16.93,1.83,0,0,1.17,0,47.2,0,0,0.88,0,0,0.68
 72-82,0,0,0,0,6.66,2.07,0,0,1.16,0,30.7,0,0,0.9,0,2.64,0
 84-94,0,0,0,3.11,4.45,0,3.69,0,1.5,0,24.04,0,0,1.06,0,0,5.1
 96-106,0,0,0,0,7.88,0,0,0,0,0,4.09,0,0,0.6,0,0,0.64
108-118,0,0,0,0,0,0,0,0,0,0,19.78,0,0,0,0,0,2.01
120,0,0,0,0,19.36,1.41,0,0,2.16,0,141.7,7.9,0,9.08,0,0,0
