stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching_gland,ionocyte,iridophores,mesenchyme,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,0,13.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.7,9.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,27.85,3.24,0,0,0
 10-12,0,0,0,0,0,0,0,7.05,0,0,0,39.63,0,0,0,0
 14-21,0,0,0.84,0,0,0,0,0,0,0,0,1.11,0,0,1.72,1.61
 24-34,0,0,0,0,0,0,0,0,0,0,0,5.05,0,0,0,0.73
 36-46,0,0,0,0,0,0.66,0,0,0,0,0,5.6,0,0.57,0,0
 48-58,0,0,0.55,0,0.54,0,0,0,0,0,0,0,0,0,0,0.62
 60-70,0,0,3.79,0,6.1,0,2.01,0,0,0,3.6,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0
 84-94,0,0,0,0,2.43,0,0,0,0,0.74,0,2.49,0,0,0,0
 96-106,0,0,1.47,2.65,0,0,0,0,0,0,0,0,0,1.91,0,0
108-118,0,0,3.08,0,0,0,0,0,0.49,0,0,0,0,0,0,0
