stage,eye,glial,mesenchyme,slow_muscle,vasculature
 48-58,0,0,0,1.43,0
 72-82,0.5,0.94,3.27,0,0.73
 84-94,0,0,1.08,0,0
108-118,0,0,1.73,0,0
120,0,0,11.14,0,0
