stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.18,14.01,4.73,4.52,0,0,0,1.34,0,0,0,0,0,0,0,6.54,0,0,5.87,48.18,0.89,0,0,0.85,0,0,3.9,0,2.1,9.01,24.7,0,0,3.08,0,0
 24-34,0,0.83,2.54,0,8.63,18.58,0.62,0,4.28,0,0,0,0,0,0,0,14.8,0,0.89,34.77,161.54,0.65,2.28,0.67,0,0,0.63,0.76,0,7.56,4.01,26.33,0,0,7.6,0,0
 36-46,0,0,2.96,0,19.1,55.12,0.68,1.39,7.49,0,0,1.45,0,0,0,0,10.74,0,0,23.27,120.1,0,0,4.87,0,0,0,0,0.95,41.19,1.69,31.03,0,0,12.5,0,0
 48-58,0,0,6.61,0,44.44,47.64,4.85,1.57,14.29,0,0,0,0,0.97,0,0.77,24.23,0,0.5,12.67,203.98,0,0,0.44,0,0,0,0,0,28.9,0,20.89,0,0.4,2.39,0,0
 60-70,10.41,0,2.46,0,42.16,41.88,3.41,9.9,8.23,0,0,0,0.57,0.98,0,0,9.98,0,0.69,10.82,113.41,3.71,0,0,0,1.13,0,0,0,30.23,0,18.52,0,0,0.87,0,0
 72-82,0,0,0.51,0,54.29,16.72,0,3.25,20.28,0,0.59,0.58,0,1.42,0,0,17.24,1.59,0,8.29,77.33,0,0,1.65,0,0,1.08,0,0,18.31,0,9.88,0,1.08,4.26,0,0
 84-94,0,0,0.88,2.69,71.59,15.8,0,8.78,8.4,1.36,0,0,0,0.65,0,0,27.74,0,0,11.55,66.19,0,0,0,0,0,0.8,0,1.44,5.67,0,10.22,0,0,1.76,0.6,0
 96-106,0,0,8.63,4.25,31.5,30.09,0,7.74,20.79,1.54,0,0,0,1.5,0,0,37.89,0,1.37,6.89,64.55,0,0,2.38,10.66,0,2.7,0,1.18,17.7,0,0,0.83,0.76,1.82,0,11.37
108-118,0,0,6.6,5.21,40.66,22.64,0,4.56,12.56,2.79,0,0,0,0,1.71,0,16.11,0,0.74,9.34,60.95,0,0,2.23,0,0,3.03,0,0.42,1.19,0,8.23,0,0.67,1.92,0,0
120,0,0,4.49,0,60.89,7.82,0,2.48,8.74,0,0,0,0,0,0,0,9.33,0,0,7.9,56.55,0,0,0,0,0,0,0,10.24,0,0,0,0,0,0,0,0
