stage,axial,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.95,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,6.37,0,0,26.46,0,0,0,13.46,0,0,0,0,1.85,0,0,53.3,0,0,0,0,24.4,0,0,0,0,0,7.77,0,8.75,0,0,0,119.63
 24-34,0,0.85,0,0,269.17,0,0,10.01,11.56,0,0,0,0,3.36,0,0,432.77,3.67,0,0,4.52,92.18,0,1.71,0,0,2.27,38.8,0.77,17.6,0,1.82,0,444.17
 36-46,0,0,0,0,215.08,0,0,78.68,2.2,0,0,0,0,5.72,0,0,843.93,4.21,0,1.06,0.71,73.02,0,0,0.61,0,0,23.13,0,15.43,0,0,0,416.64
 48-58,0,0,0.39,0,302.57,0.99,7.59,320.73,1.13,0,0.85,0.55,0,30.53,0,4.38,702.59,16.89,0,0,6.47,54.61,0,0.68,0.62,0,1.73,13.25,0,15.66,0,1.97,0,573.95
 60-70,0,3.08,0,0,666.23,0,25.55,537.82,9.7,0,0,0,0,17.07,0,7.72,289.5,11.17,0,0,3.52,57.99,0,0,3.5,0,0.57,19.08,0,5.76,0,0,0,176.03
 72-82,0,3.79,0.73,0,452.26,0,21.68,861.8,4.47,2.68,0,0,0,0.58,0,29.34,180.68,47.79,0,0,11.84,33.1,0,9.66,4.89,0,3.5,45.94,0,16.64,2.75,3.17,0.89,170.27
 84-94,0,0.55,0,0,728.28,0,23.65,553.02,0,0,0,0.99,0,4.57,0.73,47.34,296.11,69.98,0,0,12.78,34.18,0,0,0,0,9.64,80.58,0,0,0,1.87,2.34,73.64
 96-106,0,12.71,4.95,1.14,411.31,0,91.65,738.9,11.04,0.57,1.53,0.74,1.18,1.28,0.94,266.53,240.37,112.84,0,0,5.29,91.15,0,0.81,0.8,4.36,3.58,143.35,0,4.78,0,0.84,4.04,18.01
108-118,0,3.29,0,11.51,356.87,0,29.05,774.26,14.82,0.59,0,8.77,0,2.47,0,507.29,285.85,282.89,3.1,0,19.89,64.51,1.35,1.69,7.05,3.18,7.24,126.48,0,3.21,0,0.87,3.8,7.53
120,0,0,2.37,0,220.83,1.67,6.38,1105.5,21.09,0,0,0,0,0,0,566.47,84.98,454.49,0,0,18.01,128.34,0,2.92,0,0,5.55,80.64,0,0,0,10.32,0,0
