stage,eye,glial,mesenchyme,neural,otic,pronephros,spinal_cord,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0.86,0
 24-34,0,0,0,6.94,0,0,1.02,0
 36-46,1.13,0,0.86,14.67,0,3.78,1.83,0
 48-58,1.63,0.7,2.67,6.3,0,0,0,0
 60-70,0.69,0.58,0,13.97,0,0,0,0
 72-82,0,0,0,3.98,0,0,0.53,0
 84-94,4.07,0,1.3,9.16,5.97,0,2.91,1.16
 96-106,0,0,2.63,0,0,0,0,0
108-118,1.54,0.98,0,9.44,0.69,0,0,0.91
120,0,0,0,20.93,0,0,0,0
