stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.5,419.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9,0,0,0,0,0,0,0,0,0,0
  5-6,42.22,754.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.24,0,0,0,20.53,24.61,0,0,0,0,0,0,0,0,0,0
  7-9,13.77,27.49,9.83,0,0,53.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.43,21.1,0,0,160.68,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.68,24.51,0,0,15.89,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,330.84,16.14,0,0,72.35,0,0,7.42,0,0,0,0,0,0,0,0
 14-21,0,0,0,17.87,0.86,3.9,0,0,1.34,0,0,0.92,0,0,0,0,0,8.53,0,0,12.37,167.04,7.32,1.44,2.64,4.39,0,12.48,0,2.63,8.64,51.77,0,0,1.82,0,0
 24-34,0,0.83,0,1.65,0.66,14.17,0.85,0,0,0,0,0,0,2.67,0.68,0,0,25.1,0.61,0,5.78,151.2,0,1.33,2.96,0,3.76,0,1.75,0,0.66,39.8,0,0,1.12,0,0.63
 36-46,0,0,0,1.67,0.76,27.22,0,0.62,7.24,0,0,0,13.03,0,0.72,0,0,7.55,0,0,2.49,85.03,0,0,0.59,0,2.74,0,0,0,0,16.48,0,0,4.5,0,0.67
 48-58,0,0,0,0.4,0,26.14,0.49,0,23.2,0,0,0,0,0,0,0.39,0.54,11.65,0,0,0,68.51,0,0,0,0,5.75,0,0,0.37,0,8.31,0,0,0.38,0,0.48
 60-70,0,0,0,0.6,0,28.25,0,0,11.54,4.35,0,0,0,0,1.2,0,0,11.44,0.77,0,0.61,13.11,0,0,0,0,6.62,0,0,0,0,1.6,0,0,0,0,0
 72-82,0,0,0,0.51,0,3.41,0,2.86,19.46,0.53,0,0,0,0,0,0.96,0,22.8,1.13,0.91,1.81,20.01,0,1.28,0.89,0,0.66,0,0,0,0,4.23,3.4,0,1.47,1.78,2.27
 84-94,0,0,0,0.67,0,15.15,0,0,4.24,0,0,0,0,0,0,0,0,23.49,0,0.63,5.22,6.62,0,0,4.67,0,5.39,0,0,0,0,3.08,0,1.8,0,0,1.25
 96-106,0,0,0,0,0,11.69,0.56,0,3.93,0,0,0,0,0,0,0,0,17.86,0,0,1.1,7.7,0,0,0.79,0,0.63,0,0,0,0,0,0,0,1.07,0,0
108-118,0,0,0,1,0,7.83,0.6,0.79,9.39,1.15,0,0.43,0.45,0,0.76,0,0.68,16.84,0,4.88,2.16,22.78,0,1.39,0,0,0,0,0,0,0,0,0,0,0.84,0,1
120,0,0,0,4.38,0,0,0,0,22.8,1.91,0,1.15,0,0,0,0,0,6.31,0,0,0,3.47,0,4.64,0,0,2.85,0,0,0,0,0,0,0,0,0,0
