stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,22.12,479.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.87,0,0,0,0,0,0,0,0,0,0
  5-6,55.98,1447.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.63,0,0,0,8.83,0,37.18,0,0,0,0,0,0,0,0,0,0
  7-9,35.73,33.3,0,32.58,0,0,61.24,0,0,0,0,26.14,0,0,0,0,0,0,0,0,0,0,709.4,16.74,0,0,201.09,0,5.78,5.5,0,0,0,0,0,0,0,0,0
 10-12,0,9.04,0,39.74,0,6.14,9.98,0,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,435.8,13.93,0,0,145.48,0,0,5.62,0,17.59,0,5.74,0,0,0,0,0
 14-21,0,0,0,0,9.64,0.96,7.2,0,0,0,1.42,0,0,0,0,0,0,0,1.82,0,0,1.12,29.39,0.95,0,0,2.02,0,1.21,0,0.96,4.7,0,5.37,13.17,0,3.21,0,0
 24-34,0,0,0,0.7,2,0,3.88,0.71,0,0,0,0,0,2.34,0,0,0,0,3.9,0,0,2.05,48.45,0,0,0.9,0,0,1.88,0,0,0,0,1.94,6.71,0,4.53,0,0
 36-46,0,0,0,0,12.29,0,7.15,0,0,4.71,0,0,0,0,0.77,0,0,0,13.83,2.03,0,0.66,106.47,0,0,1.42,0,0,14.32,0,0,0,0,0,22.69,0,0.64,0,0
 48-58,0,0,0,0,2.9,0,21.3,6.59,0.42,4.95,0.61,0,0,0,0,0,0,0.39,6.52,0,0,2.75,77.15,0.39,0.87,1.05,0,0,1.63,0,0,0,0,0,16.51,0,1.51,0,0
 60-70,0,0,0,0,1.59,0,31.32,0,0,9.91,0.99,0,0,0,0,0,0,0,6.4,0.65,0,1.83,52.4,0,0,0,0,0,3.43,0,0,0,2.31,0,5.13,0,0,0,0
 72-82,0,0,0,0,3.57,0,29.16,0,0,3.36,0,0,0.86,0.55,0,0,0.64,0,16.13,0,0,2.46,32.54,0,0,0,0,0,0.98,0,0,0.64,0,0,6.53,0,0,0.57,0
 84-94,0,0,0,0,1.63,0,12.85,2.11,0,1.66,0,0,0,0,0.62,0,0,0,1.56,0,0,2.74,20.74,0,0,4.2,0,0,3.57,0,0,0,1.43,0,0,0.78,0.59,2.54,3.76
 96-106,0,0,0,0,0,0.8,13.78,0,0,3.71,0,0,0,1.17,0,0.79,0,0,8.35,0,0,0,25.49,0,0.56,6.1,0,1.03,7.74,0,0,0,0,0,0,0,2.05,0.58,0
108-118,0,0,0,0,1.67,0,13.11,0.5,0,4.55,0,0,0,0,0.45,0,0.76,0,9.11,0,0,1.04,26.07,0,0.53,0,0,0,2.01,0,0,0.59,0,0,2.47,0,1.54,1.3,2.82
120,0,0,3.9,0,0,0,3.86,0,0,1.85,1.71,0,0,0,0,0,0,0,5.58,0,1.45,0,28.1,0,2.92,0,0,0,11.08,0,0,0,0,0,1.57,0,0,0,0
