stage,blastomeres,erythrocytes,eye,fin_epithelia,glial,gut,liver,melanocytes,mucous,neural,paraxial_mesoderm,periderm,vasculature
  5-6,6.21,0,0,0,0,0,0,0,0,21.04,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,15.02,4.33,0,0
 10-12,5.51,0,0,0,0,0,0,0,0,5.9,0,0,0
 72-82,0,0,0,1.55,0,0,0,0,0,6.5,0,0,0
 84-94,0,0,0,0,0,0,0.63,0,0,0,0,0,0
 96-106,0,0.94,0.65,0,5.58,4.12,79.68,0,1.34,1.67,0,1.3,0
108-118,0,0,0,0,0,6.04,56.52,0.51,0,6.28,0,0,0.87
120,0,0,0,0,0,9.67,20.68,0,0,6.26,0,0,0
