stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,43.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,134.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.62,0,0,0,0,0,31.84,0,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0,0,120.29,7.77,0,0,22.64,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,22.04,0,9.56,0,53.75,0,0,0,0,7.94,0,0,0,0,0,0,0,0,0,0,0,431.59,39.09,0,0,75.13,0,0,6.03,0,7.92,0,0,0,0,0,0,0,0
 14-21,0,0,0,53.27,32.99,0,21.44,0,0,13.99,0.83,8.01,0.93,0,0,0,0,0,0,39.39,0,0,25.04,255.27,10.67,1.23,9.5,11.47,0,0,0,14.3,33.07,1.17,25,123.4,0,0,6.21,0,0
 24-34,0,1.05,2.12,19.39,3.72,0,52.69,2.7,0,10.38,0.77,0,7.06,0.83,0,0,0,0,1.09,43.9,4.95,0,23.72,477.13,5.57,2.78,4.4,0,0,0,0,0,23.31,0.99,4.99,155.72,0,0,76.88,0,0
 36-46,0,0,0,8.1,0,0,131.97,0,1.84,17.4,0,0,0,1.78,0,0.65,0,0,0.71,102.7,0,1.73,14.97,483.6,8.92,12.1,2.66,0,0,0,0,0,24.53,0,0,137.07,0,0,84.88,0,1.44
 48-58,0,0,0,10.07,1.23,0,212.23,1.25,3.52,30.14,0,0,3.27,9.17,0,0,0.4,0,0,87.23,0,2.76,7.57,394.42,0,3.62,4.61,0,0,0,0,0,8.08,1.46,0,129.05,0,0,33.74,0.9,4.57
 60-70,0,0,0,8.87,5,0,210.4,3.86,0.87,36.95,0,0,1.75,15.6,0,0,0,0,5.23,87.19,0,0.71,7.94,271.58,0,1.56,6.86,0,0,0.74,0,0,2.96,0,0,63.21,0,2.89,45.9,0,0.99
 72-82,0,0,0,5.54,5.5,0,145.21,1.67,6.76,43.81,0,0,3.48,16.42,0.7,0,0,0,0.5,113.37,0,1.98,10.15,283.51,1.25,0,5.12,0,0.71,1.6,0,0,3.33,0,0,49.09,0,1.31,52.89,2.22,2.33
 84-94,0,0,0,5.63,2.08,0,92.85,3.04,2.55,39.29,0.99,0,3.07,11.94,1.68,0,1.68,0,0,70.24,0,0.55,6.76,200.48,1.16,2.27,15.23,0,0,1.07,0,0,21.08,0,0,45.04,0,6.42,58.69,2.73,0
 96-106,0,1.98,0,6.02,8.73,0.97,103.84,0.59,3.13,47.54,1.16,0,9.76,13.33,0,0,1.95,1.13,0,71.98,0,0,6.41,166.92,0,3.6,13.4,0,0,4.79,0,0,20.39,0,0,25.72,3.03,0,59.02,3.42,1.91
108-118,0,0,0.74,0.51,3.11,1,104.86,0,3.12,59.46,0,0,1.12,8.35,0,3.35,1,1.36,1.49,90.35,0,0,4.57,196.96,2.51,1.5,18.8,0,3.15,1.39,0,0,18.41,0,0,22.75,2.88,0,50.96,0,0.96
120,0,0,0,7.16,2.48,0,73.26,0,0,64.74,1.94,0,0,20.23,0,0,1.48,3.99,0,66.23,0,0,0,184.73,0,1.32,7.47,0,0,1.02,0,0,17.43,0,0,10.58,3.18,4.12,86.68,3.36,4.45
