stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,77,958.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,0,0,0,0,0,0
  5-6,89.83,1615.86,0,0,0,0,0,0,0,0,0,0,0,61.86,0,0,0,0,0,0,0,0,0,0,25.49,0,0,0,6.56,0,27.38,0,0,0,0,0,0,0,0,0,0
  7-9,74.53,76.42,0,31.69,0,0,0,139.61,0,0,0,0,0,46.12,0,0,0,0,0,0,0,0,0,0,1349.5,61.07,0,0,442.31,0,0,21.61,0,0,0,0,0,0,0,0,0
 10-12,0,11.82,0,19.18,0,18.47,0,67.51,0,0,0,0,0,6.61,0,0,0,0,0,0,0,0,0,0,801.67,13.2,0,0,245.29,0,0,19.99,4.19,51.41,4.35,0,0,0,0,0,0
 14-21,0,0,3.65,2.83,22.87,7.55,0,11.03,0,0,0,4.38,1.86,0,0,0,0,0,0,0,0,19.75,0,7.72,186.07,5.03,0,0,3.73,0,2.75,0,18.02,0.85,17.82,63.13,0,0,2.58,0,0
 24-34,0,0,0,0,18.35,0.81,0,26.52,0,2.88,0,0.64,0.67,0,1.45,0,0,0.97,3.2,0.61,0,18.47,0,5.56,226.65,2.45,1.29,0,0,0,14.21,0,0,0.78,3.44,42.5,0,0,0.93,0,0
 36-46,0,0,1.03,0,6.36,0,0,33.83,0,0,0.62,9.16,0.95,0,0.95,0,0,1.49,0.81,0.59,0,46.64,1.44,8,317.26,0.61,3.7,0.58,0,0,11.63,0,0,0,0,74.09,0,0,0,0,0
 48-58,0,0,0,0,5.74,0,0,74.86,0.58,1.61,0.83,15.89,0,0,0,1.2,0,0,0,2.15,0,28.56,0.92,16.26,262.63,0,0.4,3.4,0,0,4.56,0,2.68,0,0,50.13,0,0,4.04,0,8.92
 60-70,0,0,0,0,1.84,0,0,122.09,3.1,0.8,1.62,19.66,0,0,0,0,0,0.98,0,0,0,62.04,0.65,7.47,288.87,0,3.13,6.36,0,1.19,9.42,0,0,4.44,0,50.42,0,0,4.74,0,14.58
 72-82,0,0,0,0,0.72,0,2.97,82.66,0,0,3.85,14.67,0,0,0.51,0,0.56,0,0,0,0,57.45,3.87,7.68,238.54,1,7.37,0,0,2.6,5.54,0,0,0,0,10.05,0,1.34,4.44,1.08,1.17
 84-94,0,0,0,0,3.14,0,0,54.32,0,4.73,13.76,14.67,1.33,0,0,4.39,0,0,0,0,0,56.95,12.91,3.98,170.21,0,0.77,2.02,0,0,14.43,0,0,0,0,9.2,0,0.84,17.65,2.68,2.4
 96-106,0,0,0,0,3.45,0,0.71,46.41,0.64,0,1.71,13.7,0,0,0.58,0.95,0,0,0,0.7,0,57.92,5.24,3.05,140.79,0,4.22,1.85,0,0,5.66,0,0,0,0,5.72,0.58,3.58,2.58,0.76,6.49
108-118,0,0,0,1.47,8.13,0,1.03,77.6,0,0.69,1.14,19.7,1.03,0,0,0.74,0,0.5,0,0.84,0.83,58.76,0,5.47,169.09,1.44,3.23,0,0,0,16.56,0,0,0,0,8.98,1.13,2.13,11.91,0,0.83
120,0,0,0,0,9.44,0,0,23.98,0,0,13.32,14.66,0,0,3.15,8.95,0,0,0,0,0,37.84,0,13.56,214.32,0,0,0,0,0,16.32,0,0,0,0,10.83,0,0,19.89,0,0
