stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
 14-21,3.64,5.89,3.75,8.72,0,5.23,0,0,0,7.78,0,5.94,206.9,0.81,0.94,0,0.9,0,2.04,13.22,7.02,55.38,0,0.84
 24-34,0.68,3.01,0,14.03,0,0,0,0,0,4.28,0,2.13,68.97,0,0,0.71,0,0,0,0,0,15.41,0,0
 36-46,0,2.28,0,16.55,0,0.79,0,0.61,0,2.06,0,0,20.21,2.62,0,0,0,0,0,0,0,4.53,0,0
 48-58,0,0.37,0,13.59,0,0,0,0,0,9.99,0,0,6.45,0,0,0.48,0,0,1.28,0,0,1.02,0,0
 60-70,0,0,0,1.66,1.4,3.37,0,0,1.37,1.98,0,0,19.51,0,0,0,0,0,0,0,0,0,2.42,0
 72-82,0,0,0,1.22,0,4.74,0,0,0,0.67,0,0,16.94,0,0,0,0,1.31,2.56,0,0,2.82,0,0
 84-94,0,1.81,0,0,0,1.61,0,0,0,0,0,0.69,13.29,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,5.18,0,1.75,0,0,0,3.28,3.01,1.73,6.7,0,0,0,0,2.9,1.28,0,0,4.25,3.4,0
108-118,0,1.99,0,3.39,0,4.02,1.51,0,0,4.12,0,0,8.76,0,0,0,0,0,2.2,0,0,0,0,0
120,0,0,0,0,0,1.77,0,0,0,1.83,0,0,10.08,0,0,0,0,0,0,0,0,0,0,0
