stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vasculature
  3-4,0,207.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,179.89,0,0,0,0,0,0,0,0,0,0,0,0,17.71,0,0,0,0,0,0,0,0,0,0
  7-9,3.56,0,11.41,0,0,9.13,0,0,9.71,0,0,0,0,0,198.23,9.19,0,0,45.74,0,3.47,0,0,0,0
 10-12,0,4.52,19.75,0,0,10.63,0,0,15.43,0,0,0,0,0,208.2,0,0,0,45.88,0,0,16.93,0,0,0
 14-21,0,0,0,17.59,0.91,0,0.89,0,0,0,0,4.69,0,0.98,35.77,0.83,0,0,0,0,0,0.97,4.21,5.36,0
 24-34,0,0,0.6,0,0,0.91,0,0,0,0,0,1.3,0,0.67,16.61,0,0,1.58,0,0.72,0,0,0,4.15,2.01
 36-46,0,0,0,0.66,0,0.64,0,0,0,0,0,0,0,0,7.83,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,5.54,0,2.01,3.36,0,0,0,0,0.43,0,0.58,4.66,0,1.67,0.54,0,0,0,0,0,0,0
 60-70,0,0,0,0.61,0,11.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.62,0,0,0,0,0,0,0.93,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.47,0,0.76,0,0.62,0,0.73,0,2.23,0,0,1.33,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.7,0,0,0,0.62,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.95,0,0,0,0,0,0.66,0.46,1.21,0.6,0,0,0,0,0,0,0,0,0,0
120,0,0,0,2.36,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0
