stage,axial,blastomeres,epidermis,eye,fin_epithelia,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,somites,spinal_cord
  3-4,16.11,13.09,0,0,0,0,0,0,0,0,0,0
  5-6,0,116.94,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,15.75,3.26,6.11,0,0
 10-12,0,0,0,0,0,0,0,20.27,0,0,0,0
 14-21,0,0,0,0,0,1.07,0,0,0,0,0.92,0
 24-34,0,0,0,0,0,0,0.61,0,0,0,0,0.69
 36-46,0,0,1.74,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.46,0,0,0,3.37,0,0,0,0
 72-82,0,0,2.04,0.55,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.6,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.1,0,0,0,0,0,0,0
120,0,0,5.49,0,0,0,0,0,0,0,0,0
