stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.54,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.49,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26,0,0,0,0,0,0
 10-12,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.99,0,0,0,0,0,0,0,0
 14-21,0,1.3,0.98,0,0,0,1.2,0,0,0,0,0,0,0,1.03,1.99,1.95,6.14,0,2.45,3.51,0,0,0
 24-34,0,6.12,0,0.79,0,0,0,0,0,0,0,1.29,0,0,0,18.7,0,0,0,0,12.19,0,0,0.89
 36-46,0,0.59,0,0,0,0,1.14,0,0,0,0,0.86,1.46,1.03,0,73.87,1.48,3.84,0,0,17.09,0,0,0
 48-58,0,0,0,3.06,0,0.62,1.19,0,0.38,0,0,0.48,0,0,0,41.14,0.58,5.6,0,0,5.87,0,0,0
 60-70,0,4.43,0,19.83,0,0,0.87,0,0,0,0,2.64,0.81,0,0,59.84,0,1.56,0,0,6.05,0,0,0
 72-82,0,0,0,10.09,0,0,0.54,0,0,0,0,0,9.48,0,0.8,9,0,2.15,0,0,0,0,0,0
 84-94,0,0,0,10.09,0,0,0,0,0.79,0,0.9,0,4.35,0,0,9.19,0.9,4.03,0,0,0,0,0,0
 96-106,0,0,0,1.1,0.64,0,0,1.02,0.56,0,0,0,1.05,0.71,0,4.07,1.93,6.91,0.6,0,0,1.9,3.22,0
108-118,0,3.08,0,3.37,0,0,0,6.45,0,0.41,5.26,1.75,9.95,0.77,1.15,6.7,1.21,3.11,0,0,0,0,0,0.61
120,0,2.52,0,2.69,0,0,2.12,0,0,0,0,0,30.64,0,0,47.91,0,1.53,0,0,3.5,0,0,0
