stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,27.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,58.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.38,0,0,0,0,0,0,0,0,0,0,0,10.53,0,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.52,0,0,0,0,0,0,0,0,9.43,0,0,0,9.98,0,0,0,0,0,0,0
 14-21,0,0,5.19,0,1.4,0,0,0,0,1.18,0,7.71,0.92,8.58,1.8,0.98,1.61,0.89,0,1.25,2.05,3.8,0,0,0
 24-34,0,0,0,0,1.38,0,0,0,0,0,0,0.8,0,28.84,0,1.1,0,0,0,0,0.75,8.45,0,0,0
 36-46,0,0,0,0,8.36,0,0,1.84,0,0,1.33,1.52,1.93,40.35,0,0,0,0,1,0,0,4.61,0,0,0.91
 48-58,0,0,0,0,5.4,0,0,2.34,0,0,0,5.05,0,35.89,0,0,0,0,8.85,0,0,11.95,0,0,1.04
 60-70,0,0,0,0,13,0,0.62,0,2.37,0,1.24,2.72,1.08,53.57,0,1.16,0,0,0,0,0,2.58,0,0,0
 72-82,0,0,2.7,0,12.34,0,0,1.5,0,0,0,5.66,0.71,38.17,0,0,0,0,1.94,0,0,2.33,0,0,0
 84-94,0,0,3.63,5.27,5.77,0.76,0,0,0.83,0,0,2,0,22.2,0,1.84,0,0,1.82,0,0,0,0,0,0.91
 96-106,0,0,0,0,20.16,0,0,0,1.18,0,0,0.85,0,15.85,0,0,0,0,2.15,0,0,0,1.44,0,0
108-118,0,0,1.78,0,6.06,0,0,0.95,2.16,0.72,0,2.54,0,28.25,0,0,0,0,5.34,0,0,0,0,1.42,0
120,0,0,0,0,0,0,0,0,0,0,0,7.76,0,76.77,0,0,0,0,0,0,0,0,0,0,2.09
