stage,blastomeres,eye,glial,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,somites,spinal_cord,vasculature
  5-6,8.97,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.37,0,0,0,0,0
 10-12,0,5.32,0,0,0,0,6.08,0,0,0,0,0
 14-21,0,0,0,0,0,0,13.67,0,0.89,1.39,0,0
 24-34,0,0.65,0,0.63,0,1.6,5.24,0,0,0,0.9,0
 36-46,0,1.36,0,0,0,0,2.28,0,0,0,0,0
 48-58,0,0,0,1.79,0,0,11.78,0.64,0,0,0,0
 60-70,0,0,0.94,1.03,0,0,11.7,0,0,0,0,0
 72-82,0,0.71,0,0,0,0,4.02,0,0,0,0,1.02
 84-94,0,0,0.66,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.16,0,2.49,4.09,0,0,0,0
120,0,0,0,0,0,0,1.5,0,0,0,0,0
