stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,32.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,51.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,11.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.37,0,0,0,0,0,0,0,0
 14-21,0,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.24,0.89,0,0,0,1.35,0,2.85,15.46,0,0,0,0
 24-34,0,3.37,0,0,0.71,0.82,0,0,0,0,0,0,0,0,0,0,0,102.57,0,11.48,0,0,0,0,0.66,61.93,0,0,2.41,0
 36-46,0,7.36,0,0,3.37,1.53,0,0,0,0,0,0,1.07,0,2.51,0,0,306.98,0,7.81,0,0,0.83,0,0,66.32,0,0,1.18,0
 48-58,0,2.94,0,0,34.64,0,0,7.65,0.49,0,0,0,0,0,2.68,0,0.64,546.33,0,10.64,0,0,2.6,0,0,55.69,0,0,0,0
 60-70,0,3.34,0,0,196.97,3.85,0,23.16,0,0,0,0,0,0,10.52,0,0,1238.11,0,3,0.72,0,0,0.63,0,103.17,0,0,0,0
 72-82,0,8.2,0,0,221.35,0,0,65.7,1.12,0.59,0,0,0,0,21.36,2.98,1.85,1598.08,0,10.7,3.45,0,0,1.62,0,90.06,1.58,3.07,0,0
 84-94,0,9,0.71,0,285.52,0,0,50.95,0.92,0,0.65,2.52,0,0,17.69,0,1.76,1293.06,0,15.17,0,0,2.17,0,0,57.23,0,0,1.29,2.23
 96-106,0,20.44,7.35,0,214.35,0,0,37.49,0,0,1.98,0,1.54,0,12.21,3.43,3.64,1240.86,0,18.37,0,0,0,1.33,0,32.74,5.97,0,0.65,1.85
108-118,0,20.72,0,0,195.97,2.91,0.84,37.55,0,0,0,1.01,1.12,0.91,31.7,0,0.51,1110.4,0,10.26,0,0,0,0,0,25.85,0,0,0,0
120,0,30.54,0,13,145.69,0,0,31.52,0,0,0,0,18.25,0,21.53,0,3.76,1461.52,0,10.17,1.98,0,4.16,2.61,0,59.38,0,0,0,0
