stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.81,8.16,0,0,0,0,0,0,0,0,0,0,0,8.88,3.65,0,0,4.12,46.8,0,0,0,0,0,4.91,0,4.39,7.43,0,0,0,0
 24-34,0.65,2.68,0,2.52,0,0.86,0,0,1.04,0,5.76,1.01,1.2,0,13.7,0,0,0,143.9,0,0.85,0,0,1.33,2.17,4.62,6.03,8.99,0,0,0,0
 36-46,0,1.81,0,2.01,0,0,3.24,0,1.77,0,2.3,0,0.93,0,4.7,0,0,1.27,85.59,0,0.9,0,0,0.81,0,1.66,0,11.29,0,0,0,0
 48-58,0,7.17,0,6.29,7.28,0,2.74,0,3.45,0.38,1.36,1.16,0,0,24,0,0.63,1.26,167.69,0.55,1.22,0,0,1.41,0,4.6,0,20.37,0,0,0,0
 60-70,0,5.18,0,48.34,0,2.29,5.68,0,1.5,0.94,0.58,0,0,0,16.44,0,1.64,2.97,117.69,3.78,0,0.91,0,0,0,1.21,0,5.94,1.06,0.85,0,0
 72-82,0,0.65,0,26,0,0,4.86,1.45,1.76,5.81,1.68,0,1.61,0,27.8,1.83,1.02,0.61,114.46,0,0,0,0,8.52,0,0.53,0,9.4,0.89,3.24,0,0
 84-94,0.61,1.94,0,22.27,0,1.38,6.01,0,5.17,13.8,2.41,0,0,0,26.19,10.69,2.07,5.38,79.29,0,0,0,0,0.67,0,6.34,0,0,0,0,0,0
 96-106,0,1.11,1.85,26.25,0,2.03,7.56,0,2.23,7.23,0,0,1.46,0,29.06,0,3.13,0.79,50.28,0,1.13,0,1.37,1.25,0,3.98,0,0,5.55,0,0.83,1.24
108-118,0,1.93,0,23.04,0.48,0,17.53,0.48,0.56,6.16,1.59,0,0.57,3.9,32.33,0,0.46,10.77,104.25,0,1.82,0.55,0,2.7,0,0.5,0,3.64,0,0,1.53,0
120,0,3.36,0,29.98,0,0,86.66,0,0,1.92,0,0,3.23,0,9.4,0,0,0,186.13,0,0,0,8.71,0,0,0,0,3.17,0,0,0,0
