stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,iridophores,liver,mesenchyme,muscle,neural,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,spinal_cord
  3-4,16.65,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,58.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.06,0,0,10.11,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,1.56,1.3,0,1.28,0.99,0,0
 24-34,0,0,0,0,2.63,0,0,0,0.66,0,0,0,0,0,2.16,0,0,0,0,0,0
 36-46,0,0,0,0,1.41,0,0,0,0,0,1.6,0,0,0,1.65,0,0,2.25,0,0,0.9
 48-58,0,0,0,0,1.24,3.19,0,0,0,0,0.41,0,0,0.61,1.57,0,0,0,0,0,0
 60-70,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0
 72-82,0,0,0,0.77,2.83,0,0,2.13,0,0,0,1.86,1.34,3.04,0,0,0,1.27,0,0,0
 84-94,0,0,0.62,0,6.25,0,0,5.27,0,0,0.85,0.88,0.85,0.65,8.21,0,0,0.87,0,0,0
 96-106,0,0,2.17,5.2,5.81,0,0,0.96,0,1.04,0,0,0,1.37,2.09,0,1.92,1.15,0,0,0
108-118,0,0,1.01,1.65,20.34,0,0.66,3.51,0,0,0,0,2.64,0,0.5,0,0,4.69,0,0.69,0
120,0,0,0,1.56,41.83,0,0,0,0,0,0,0,4.78,0,9.2,0,0,1.41,0,0,0
